Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Number of Alloys,100.0,0.3911402949968148,https://leetcode.com/problems/maximum-number-of-alloys,"Array, Binary Search"
HARD,Count Subarrays With Fixed Bounds,100.0,0.6770160913608477,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Total Cost to Hire K Workers,92.7,0.42885205687900096,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
EASY,Reshape the Matrix,92.7,0.63742539838799,https://leetcode.com/problems/reshape-the-matrix,"Array, Matrix, Simulation"
MEDIUM,Maximum Palindromes After Operations,90.4,0.4323652537938252,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Minimum Cost Tree From Leaf Values,90.4,0.6762252892551794,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
EASY,Keyboard Row,90.4,0.7212474647729874,https://leetcode.com/problems/keyboard-row,"Array, Hash Table, String"
MEDIUM,Earliest Second to Mark Indices I,90.4,0.3606997621422543,https://leetcode.com/problems/earliest-second-to-mark-indices-i,"Array, Binary Search"
HARD,Earliest Second to Mark Indices II,90.4,0.2112869426981718,https://leetcode.com/problems/earliest-second-to-mark-indices-ii,"Array, Binary Search, Greedy, Heap (Priority Queue)"
HARD,Last Substring in Lexicographical Order,90.4,0.3442956417690644,https://leetcode.com/problems/last-substring-in-lexicographical-order,"Two Pointers, String"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,90.4,0.6286732301142506,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
HARD,Count Anagrams,90.4,0.3474070781970012,https://leetcode.com/problems/count-anagrams,"Hash Table, Math, String, Combinatorics, Counting"
EASY,Pass the Pillow,82.0,0.5663131792318435,https://leetcode.com/problems/pass-the-pillow,"Math, Simulation"
HARD,String Transformation,82.0,0.3060878412752247,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
HARD,Minimum Edge Reversals So Every Node Is Reachable,74.0,0.574640187437242,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Longest String Chain,61.9,0.6173031574100437,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
MEDIUM,Number of Divisible Triplet Sums,61.9,0.6682420749279538,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
HARD,Sum of Distances in Tree,61.9,0.6527190255338666,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
HARD,Split Array Largest Sum,61.9,0.5748660219292843,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Break a Palindrome,61.9,0.5152614229179191,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
EASY,Maximum Difference Between Increasing Elements,52.4,0.587362331148324,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
EASY,Convert Binary Number in a Linked List to Integer,52.4,0.8121076355938389,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math"
EASY,Two Sum,52.4,0.5518542385876999,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Reverse Nodes in k-Group,52.4,0.6218896046146125,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Beautiful Arrangement,52.4,0.6444718110721063,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Cherry Pickup,52.4,0.3759097076600469,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Fraction to Recurring Decimal,52.4,0.2593355973899285,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
HARD,Remove Boxes,52.4,0.48175419699896005,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
MEDIUM,Longest Repeating Character Replacement,52.4,0.5654028139088272,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
