Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Operations to Form Subsequence With Target Sum,100.0,0.32166107211880784,https://leetcode.com/problems/minimum-operations-to-form-subsequence-with-target-sum,"Array, Greedy, Bit Manipulation"
HARD,Scramble String,98.4,0.4155754103578411,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
MEDIUM,Count the Number of Square-Free Subsets,88.2,0.24329183034822555,https://leetcode.com/problems/count-the-number-of-square-free-subsets,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask"
EASY,Best Time to Buy and Sell Stock,85.4,0.5468397962648053,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Substring with Concatenation of All Words,82.3,0.3273978752961636,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
MEDIUM,Flatten Binary Tree to Linked List,82.3,0.6750831888976792,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
EASY,Merge Two Sorted Lists,78.8,0.6615291857762259,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Painting the Walls,74.5,0.5031177015755329,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
MEDIUM,Jump Game,69.4,0.39056530288677493,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Fizz Buzz,69.4,0.7378282589651974,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
HARD,Maximum Genetic Difference Query,69.4,0.4345122962144239,https://leetcode.com/problems/maximum-genetic-difference-query,"Array, Hash Table, Bit Manipulation, Depth-First Search, Trie"
MEDIUM,Binary Search Tree Iterator,62.7,0.7410263319044703,https://leetcode.com/problems/binary-search-tree-iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
MEDIUM,LRU Cache,62.7,0.44265443569901985,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Minimum Time Visiting All Points,62.7,0.8241404831681065,https://leetcode.com/problems/minimum-time-visiting-all-points,"Array, Math, Geometry"
EASY,Valid Phone Numbers,62.7,0.2688814630967402,https://leetcode.com/problems/valid-phone-numbers,Shell
MEDIUM,Furthest Building You Can Reach,62.7,0.5010476392577317,https://leetcode.com/problems/furthest-building-you-can-reach,"Array, Greedy, Heap (Priority Queue)"
MEDIUM,Best Time to Buy and Sell Stock II,62.7,0.6871135387404802,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Number of Submatrices That Sum to Target,62.7,0.7439671758733397,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,"Array, Hash Table, Matrix, Prefix Sum"
HARD,The Number of Good Subsets,62.7,0.35588622800899017,https://leetcode.com/problems/the-number-of-good-subsets,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask"
MEDIUM,Valid Sudoku,62.7,0.6151422600228841,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Minimum Cost to Buy Apples,53.4,0.6723790322580645,https://leetcode.com/problems/minimum-cost-to-buy-apples,"Array, Graph, Heap (Priority Queue), Shortest Path"
HARD,Minimum XOR Sum of Two Arrays,53.4,0.48659434213248987,https://leetcode.com/problems/minimum-xor-sum-of-two-arrays,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
HARD,Make the XOR of All Segments Equal to Zero,53.4,0.39851501856226795,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,"Array, Dynamic Programming, Bit Manipulation"
MEDIUM,Queens That Can Attack the King,53.4,0.7211235355927418,https://leetcode.com/problems/queens-that-can-attack-the-king,"Array, Matrix, Simulation"
EASY,Maximum Value of an Ordered Triplet I,53.4,0.46273233688158405,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-i,Array
MEDIUM,Maximum Value of an Ordered Triplet II,53.4,0.4098151597650093,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-ii,Array
MEDIUM,Sum of Remoteness of All Cells,53.4,0.7087723452113175,https://leetcode.com/problems/sum-of-remoteness-of-all-cells,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Palindromic Substring,53.4,0.3518928505068841,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Sum of Distances in Tree,53.4,0.6529640557939913,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
HARD,Difference Between Maximum and Minimum Price Sum,53.4,0.3207263389581805,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum,"Array, Dynamic Programming, Tree, Depth-First Search"
