Difficulty,Title,Frequency,Acceptance Rate,Link
HARD,Painting the Walls,100.0,0.5035497147483713,https://leetcode.com/problems/painting-the-walls
MEDIUM,Number of Strings Which Can Be Rearranged to Contain Substring,88.0,0.5506272764063133,https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring
HARD,Number of Possible Sets of Closing Branches,88.0,0.506021756021756,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches
HARD,Count Complete Substrings,88.0,0.27684057250417304,https://leetcode.com/problems/count-complete-substrings
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,88.0,0.2978515938923118,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays
MEDIUM,Delete and Earn,88.0,0.5657237035197435,https://leetcode.com/problems/delete-and-earn
EASY,Two Sum,88.0,0.5450377870604131,https://leetcode.com/problems/two-sum
MEDIUM,Consecutive Numbers,88.0,0.4485342652278376,https://leetcode.com/problems/consecutive-numbers
HARD,Minimum Number of Taps to Open to Water a Garden,88.0,0.5067444839239581,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
HARD,Minimum Edge Reversals So Every Node Is Reachable,88.0,0.572940063837333,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable
HARD,Count Subarrays With Fixed Bounds,88.0,0.6777516212535288,https://leetcode.com/problems/count-subarrays-with-fixed-bounds
