Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Strings Which Can Be Rearranged to Contain Substring,100.0,0.5501358995078234,https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring,"Math, Dynamic Programming, Combinatorics"
HARD,Number of Possible Sets of Closing Branches,95.6,0.4805795486207857,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
HARD,Count Complete Substrings,95.6,0.28295681573689874,https://leetcode.com/problems/count-complete-substrings,"Hash Table, String, Sliding Window"
MEDIUM,Number of Unique XOR Triplets II,95.6,0.28972836247663036,https://leetcode.com/problems/number-of-unique-xor-triplets-ii,"Array, Math, Bit Manipulation, Enumeration"
MEDIUM,Number of Unique XOR Triplets I,95.6,0.24449059238439644,https://leetcode.com/problems/number-of-unique-xor-triplets-i,"Array, Math, Bit Manipulation"
HARD,Minimum Edge Reversals So Every Node Is Reachable,95.6,0.5528036661345965,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph"
HARD,Painting the Walls,73.3,0.48373274737348076,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
HARD,Count Subarrays With Fixed Bounds,73.3,0.6940780346370282,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
HARD,Making A Large Island,73.3,0.5455558019922518,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Minimum Number of Taps to Open to Water a Garden,73.3,0.5070426000850666,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Delete and Earn,73.3,0.5668206003413312,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
HARD,Subsequence With the Minimum Score,66.4,0.3255713358806142,https://leetcode.com/problems/subsequence-with-the-minimum-score,"Two Pointers, String, Binary Search"
HARD,Number of Ways to Form a Target String Given a Dictionary,66.4,0.571503882341378,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
MEDIUM,Minimum Time to Complete Trips,66.4,0.3899419398907104,https://leetcode.com/problems/minimum-time-to-complete-trips,"Array, Binary Search"
EASY,Two Sum,66.4,0.5554738764895554,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Count Binary Substrings,56.6,0.6586235128419462,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Find the Longest Equal Subarray,56.6,0.3602478250915751,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
MEDIUM,Number of Islands,56.6,0.6206995899462902,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Car Pooling,56.6,0.5600959028184773,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
HARD,Number of Visible People in a Queue,56.6,0.7106834830130573,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Design Twitter,56.6,0.42370700213751933,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
MEDIUM,Search Suggestions System,56.6,0.6504639028747766,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Asteroid Collision,56.6,0.4532867996100076,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Second Highest Salary,56.6,0.4352512698609258,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Consecutive Numbers,56.6,0.4586043091997621,https://leetcode.com/problems/consecutive-numbers,Database
MEDIUM,Jump Game,56.6,0.3932924301846585,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,56.6,0.2973073036012688,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
HARD,Minimum Degree of a Connected Trio in a Graph,56.6,0.43231690405103357,https://leetcode.com/problems/minimum-degree-of-a-connected-trio-in-a-graph,Graph
MEDIUM,Beautiful Arrangement,56.6,0.644918742085268,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
