Difficulty,Title,Frequency,Acceptance Rate,Link
MEDIUM,Kth Largest Element in an Array,100.0,0.674274293183119,https://leetcode.com/problems/kth-largest-element-in-an-array
EASY,Valid Word Abbreviation,97.1,0.3652225846087253,https://leetcode.com/problems/valid-word-abbreviation
EASY,Valid Palindrome II,95.5,0.421745306028752,https://leetcode.com/problems/valid-palindrome-ii
MEDIUM,Minimum Remove to Make Valid Parentheses,94.6,0.7000688252471784,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses
EASY,Merge Sorted Array,91.9,0.519005309687968,https://leetcode.com/problems/merge-sorted-array
MEDIUM,Binary Tree Vertical Order Traversal,91.9,0.5622575032030022,https://leetcode.com/problems/binary-tree-vertical-order-traversal
MEDIUM,Random Pick with Weight,87.6,0.4795094652277785,https://leetcode.com/problems/random-pick-with-weight
MEDIUM,Lowest Common Ancestor of a Binary Tree,86.4,0.6513865846410011,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
MEDIUM,Basic Calculator II,85.1,0.4496688127221596,https://leetcode.com/problems/basic-calculator-ii
MEDIUM,Simplify Path,83.8,0.45876413222957857,https://leetcode.com/problems/simplify-path
MEDIUM,Dot Product of Two Sparse Vectors,82.4,0.8988582147484508,https://leetcode.com/problems/dot-product-of-two-sparse-vectors
MEDIUM,Nested List Weight Sum,80.9,0.8495347883877219,https://leetcode.com/problems/nested-list-weight-sum
MEDIUM,Buildings With an Ocean View,79.2,0.8034899272507002,https://leetcode.com/problems/buildings-with-an-ocean-view
MEDIUM,Minimum Add to Make Parentheses Valid,79.2,0.7468104705914912,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid
MEDIUM,Shortest Path in Binary Matrix,79.2,0.48865985465597606,https://leetcode.com/problems/shortest-path-in-binary-matrix
MEDIUM,"Pow(x, n)",79.2,0.3620256105946241,https://leetcode.com/problems/powx-n
MEDIUM,Find Peak Element,77.5,0.4626273343911604,https://leetcode.com/problems/find-peak-element
EASY,Valid Palindrome,77.5,0.49718163777991875,https://leetcode.com/problems/valid-palindrome
EASY,Diameter of Binary Tree,77.5,0.623630049831296,https://leetcode.com/problems/diameter-of-binary-tree
EASY,Range Sum of BST,75.6,0.8726715070568027,https://leetcode.com/problems/range-sum-of-bst
MEDIUM,Top K Frequent Elements,75.6,0.63856625670809,https://leetcode.com/problems/top-k-frequent-elements
MEDIUM,Remove Nth Node From End of List,73.6,0.47691657246071417,https://leetcode.com/problems/remove-nth-node-from-end-of-list
MEDIUM,Lowest Common Ancestor of a Binary Tree III,73.6,0.8155051539998088,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii
MEDIUM,Sum Root to Leaf Numbers,71.4,0.6753273147709874,https://leetcode.com/problems/sum-root-to-leaf-numbers
MEDIUM,Interval List Intersections,71.4,0.7232043379850316,https://leetcode.com/problems/interval-list-intersections
MEDIUM,Find First and Last Position of Element in Sorted Array,71.4,0.458349833089785,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
MEDIUM,LRU Cache,71.4,0.4406247213609627,https://leetcode.com/problems/lru-cache
HARD,Minimum Window Substring,68.9,0.44366894887910957,https://leetcode.com/problems/minimum-window-substring
MEDIUM,Merge Intervals,68.9,0.48545757575757575,https://leetcode.com/problems/merge-intervals
HARD,Merge k Sorted Lists,68.9,0.5529192068325716,https://leetcode.com/problems/merge-k-sorted-lists
MEDIUM,Clone Graph,66.2,0.6059688777050162,https://leetcode.com/problems/clone-graph
MEDIUM,Custom Sort String,66.2,0.7153535590583346,https://leetcode.com/problems/custom-sort-string
HARD,Making A Large Island,66.2,0.4966898168224465,https://leetcode.com/problems/making-a-large-island
