Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Remove to Make Valid Parentheses,100.0,0.7074654274676669,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
EASY,Valid Word Abbreviation,95.1,0.3685159507201697,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
EASY,Valid Palindrome II,92.2,0.43027139295006883,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Binary Tree Vertical Order Traversal,91.8,0.5714118828755629,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Kth Largest Element in an Array,91.3,0.6797700117160972,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Diameter of Binary Tree,87.1,0.6358636823587297,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Lowest Common Ancestor of a Binary Tree III,86.5,0.8246671008016527,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree"
MEDIUM,Basic Calculator II,86.2,0.4581129812287864,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Binary Tree Right Side View,85.3,0.6704254068229247,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Buildings With an Ocean View,84.3,0.8076970293771174,https://leetcode.com/problems/buildings-with-an-ocean-view,"Array, Stack, Monotonic Stack"
MEDIUM,Lowest Common Ancestor of a Binary Tree,84.1,0.6675499347216417,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Nested List Weight Sum,83.5,0.8554000344037734,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
MEDIUM,Random Pick with Weight,83.0,0.4827836751158982,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Subarray Sum Equals K,82.7,0.4547621523795086,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Two Sum,81.3,0.5577698756001499,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Find Peak Element,81.0,0.4650925742800201,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Merge Intervals,80.1,0.4939526774846352,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Valid Palindrome,79.7,0.5096356689787139,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Shortest Path in Binary Matrix,79.1,0.49788818159675136,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Top K Frequent Elements,78.7,0.6456597479097793,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Copy List with Random Pointer,78.1,0.6053669280147949,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,"Pow(x, n)",77.7,0.3702319433830264,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Sum Root to Leaf Numbers,77.0,0.6852760683519554,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Simplify Path,75.8,0.4785432317744196,https://leetcode.com/problems/simplify-path,"String, Stack"
EASY,Merge Sorted Array,75.4,0.5291952052651709,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Next Permutation,73.7,0.4305773671839413,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,73.7,0.5525965868759138,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Making A Large Island,72.8,0.5489035883847789,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Merge k Sorted Lists,72.8,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,LRU Cache,72.8,0.4521454488123034,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Range Sum of BST,71.9,0.8745394306042865,https://leetcode.com/problems/range-sum-of-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,K Closest Points to Origin,70.9,0.6793957161103558,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Dot Product of Two Sparse Vectors,70.9,0.899342220834228,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
EASY,Moving Average from Data Stream,69.9,0.7993882465731537,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
MEDIUM,Find First and Last Position of Element in Sorted Array,69.9,0.4682873183580639,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Minimum Add to Make Parentheses Valid,68.8,0.746908249713867,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy"
MEDIUM,Custom Sort String,68.2,0.7200455390359645,https://leetcode.com/problems/custom-sort-string,"Hash Table, String, Sorting"
MEDIUM,Max Consecutive Ones III,67.6,0.6593931819579935,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Clone Graph,67.0,0.6238577114061011,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Interval List Intersections,66.3,0.7267720917127461,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
MEDIUM,Maximum Swap,65.7,0.5184838353958446,https://leetcode.com/problems/maximum-swap,"Math, Greedy"
EASY,Kth Missing Positive Number,65.7,0.6228376191332494,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
EASY,Valid Parentheses,63.6,0.42322819588617044,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Minimum Window Substring,63.6,0.4535073359144813,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Diagonal Traverse,62.0,0.6317316383591203,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
HARD,Valid Number,61.2,0.21563512503115395,https://leetcode.com/problems/valid-number,String
EASY,Add Strings,60.3,0.5190382397212994,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
HARD,Vertical Order Traversal of a Binary Tree,59.4,0.5133056725792462,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Insert into a Sorted Circular Linked List,59.4,0.3812431966769732,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Linked List
MEDIUM,Exclusive Time of Functions,57.5,0.6479177009848633,https://leetcode.com/problems/exclusive-time-of-functions,"Array, Stack"
EASY,Closest Binary Search Tree Value,57.5,0.4976621032115443,https://leetcode.com/problems/closest-binary-search-tree-value,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Add Two Numbers,56.5,0.4622507231988566,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Accounts Merge,55.4,0.5957992244722102,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Course Schedule,55.4,0.4923425308395746,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Squares of a Sorted Array,55.4,0.7321920614312215,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Palindromic Substrings,54.2,0.7167859571435372,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
EASY,Contains Duplicate II,52.9,0.4904986450077176,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Longest Common Prefix,52.9,0.4548305505260665,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Remove Duplicates from Sorted Array,52.9,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Binary Search Tree Iterator,52.9,0.7486926503064439,https://leetcode.com/problems/binary-search-tree-iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
MEDIUM,Continuous Subarray Sum,51.6,0.30910899825329086,https://leetcode.com/problems/continuous-subarray-sum,"Array, Hash Table, Math, Prefix Sum"
HARD,Median of Two Sorted Arrays,50.2,0.4381459000864632,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Word Ladder,48.7,0.4281180881873274,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Longest Substring Without Repeating Characters,47.0,0.3693615940639471,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,47.0,0.3584611475412551,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,String to Integer (atoi),47.0,0.19229423495277723,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,3Sum,47.0,0.3707095392707933,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Convert Binary Search Tree to Sorted Doubly Linked List,47.0,0.6548384486360829,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Search Tree, Binary Tree, Doubly-Linked List"
HARD,Valid Palindrome III,47.0,0.4908879923226072,https://leetcode.com/problems/valid-palindrome-iii,"String, Dynamic Programming"
MEDIUM,Maximum Subarray,45.2,0.5209977814622746,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
