Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,"Pow(x, n)",88.3,0.36940756173664707,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Merge Sorted Array,88.3,0.5280212683490116,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Simplify Path,86.7,0.47656551791884655,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Merge Intervals,85.3,0.49292442696343713,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Two Sum,83.2,0.5568011633830321,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,3Sum,81.8,0.36956108692200174,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Next Permutation,79.7,0.4292059353396416,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
HARD,Merge k Sorted Lists,75.4,0.5660771431930968,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Valid Parentheses,70.7,0.4224522471299811,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Find First and Last Position of Element in Sorted Array,70.7,0.46696597475170376,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Valid Number,68.7,0.21492382682724748,https://leetcode.com/problems/valid-number,String
MEDIUM,Letter Combinations of a Phone Number,67.9,0.6372997078487204,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Longest Common Prefix,67.1,0.4537240072120204,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Add Two Numbers,66.2,0.460894670098434,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
EASY,Best Time to Buy and Sell Stock,64.6,0.5515718479250513,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Subsets,63.8,0.8076109758460618,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
HARD,Minimum Window Substring,63.6,0.45220971769371304,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,63.3,0.649501350736425,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Substring Without Repeating Characters,62.8,0.3682180202441125,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,String to Integer (atoi),61.1,0.19126829708583554,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Longest Palindromic Substring,59.5,0.3574416099924265,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Remove Nth Node From End of List,59.2,0.4879381855257099,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
HARD,Median of Two Sorted Arrays,58.2,0.43650004987242313,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Search in Rotated Sorted Array,57.8,0.42739830741787166,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Roman to Integer,56.3,0.6475819853591903,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Palindrome Number,56.0,0.5914905430103509,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Count and Say,55.6,0.6037166696647248,https://leetcode.com/problems/count-and-say,String
EASY,Merge Two Sorted Lists,54.7,0.6675270310032917,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Remove Duplicates from Sorted Array,54.3,0.6020663420711025,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Container With Most Water,54.3,0.576807985174844,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Climbing Stairs,52.5,0.535077297701124,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Set Matrix Zeroes,51.5,0.6055598691988665,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Group Anagrams,51.0,0.7083641928159685,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximum Subarray,50.4,0.5203995710965497,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Flatten Binary Tree to Linked List,49.9,0.6834747457491145,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Rotate Image,49.3,0.77761040657931,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Reverse Integer,48.7,0.30224308636464225,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Spiral Matrix,48.1,0.5375487344600646,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Word Search,48.1,0.45145606387326426,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Populating Next Right Pointers in Each Node,47.5,0.653382922499807,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Multiply Strings,47.5,0.42219000380872485,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
EASY,Add Binary,46.2,0.5560635713574035,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Insert Interval,46.2,0.43368212898254765,https://leetcode.com/problems/insert-interval,Array
HARD,Regular Expression Matching,46.2,0.29230081352743403,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Divide Two Integers,46.2,0.18350479948638448,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
EASY,Pascal's Triangle,45.5,0.7691350073565829,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Plus One,44.8,0.47468633706640545,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Binary Tree Zigzag Level Order Traversal,44.8,0.6154454434561499,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Jump Game,44.0,0.3940126760724805,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Search a 2D Matrix,43.2,0.5218677504130868,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,3Sum Closest,43.2,0.46843022017346697,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Generate Parentheses,43.2,0.7702795916940959,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Sort Colors,43.2,0.6745352649218879,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Largest Rectangle in Histogram,42.4,0.47218474635978874,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Remove Element,42.4,0.5993705470420606,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Combination Sum,40.6,0.7453536365022299,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Binary Tree Level Order Traversal,38.7,0.7045072260904847,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Path Sum II,38.7,0.604100150035948,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
EASY,Sqrt(x),38.7,0.4031642157831751,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Best Time to Buy and Sell Stock II,38.7,0.6938078972424274,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Permutations,38.7,0.805743007890841,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Unique Paths II,38.7,0.4307233637444325,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Find the Index of the First Occurrence in a String,38.7,0.4488833963507506,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Valid Sudoku,37.6,0.6216827073541417,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Minimum Depth of Binary Tree,37.6,0.505485227301607,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Remove Duplicates from Sorted Array II,37.6,0.6280928717642069,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
EASY,Maximum Depth of Binary Tree,36.5,0.7706587424384537,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,First Missing Positive,35.3,0.41007536933660105,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,4Sum,34.0,0.380906497619054,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Edit Distance,34.0,0.586871771059426,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Zigzag Conversion,34.0,0.5146459684822924,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Reverse Linked List II,34.0,0.49505602086322414,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Validate Binary Search Tree,34.0,0.34303337689407426,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Sudoku Solver,32.6,0.6382463027964002,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
EASY,Binary Tree Inorder Traversal,32.6,0.7847750441540492,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Jump Game II,32.6,0.4142454443132894,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Text Justification,31.1,0.47978211901398843,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,N-Queens,31.1,0.7258154745101002,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Combination Sum II,31.1,0.5757452867070844,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
HARD,Reverse Nodes in k-Group,31.1,0.6285918489001299,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Swap Nodes in Pairs,31.1,0.6707554591678574,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Restore IP Addresses,29.4,0.5301508628772312,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Subsets II,29.4,0.5938521599316511,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
MEDIUM,Rotate List,29.4,0.3984151910312895,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
EASY,Search Insert Position,27.6,0.48884741891069483,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Convert Sorted Array to Binary Search Tree,27.6,0.7398796601827523,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Integer to Roman,27.6,0.6848152838362157,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Decode Ways,27.6,0.36454641975649105,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
EASY,Symmetric Tree,25.6,0.5915660347022756,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Maximal Rectangle,25.6,0.5352134572086831,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
EASY,Path Sum,25.6,0.5289084306776918,https://leetcode.com/problems/path-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Same Tree,23.4,0.6499646570105054,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
