Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Merge Sorted Array,88.7,0.5267878111175235,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,"Pow(x, n)",86.9,0.3685479836996733,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Simplify Path,85.9,0.4744183967040803,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Merge Intervals,84.8,0.49193339333454633,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Two Sum,83.4,0.5554644932410358,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Next Permutation,78.2,0.42792860802005284,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,3Sum,77.4,0.3684031556847768,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Merge k Sorted Lists,77.0,0.5644298154464569,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Find First and Last Position of Element in Sorted Array,72.2,0.4656721517228316,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Valid Number,70.6,0.2141065794602857,https://leetcode.com/problems/valid-number,String
EASY,Valid Parentheses,70.1,0.42159983894611874,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Minimum Window Substring,67.9,0.45098434675694304,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
EASY,Longest Common Prefix,66.2,0.4526901217697117,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Add Two Numbers,65.2,0.459413124272012,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Letter Combinations of a Phone Number,65.0,0.635989390241748,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Subsets,64.0,0.8063756601447846,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Remove Nth Node From End of List,63.7,0.4863587014121349,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,61.9,0.3671605541518096,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Trapping Rain Water,61.1,0.6481172890341239,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,String to Integer (atoi),59.7,0.1902804486466948,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Remove Duplicates from Sorted Array,58.8,0.6004880663993473,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Longest Palindromic Substring,58.6,0.3564830905278466,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Roman to Integer,58.1,0.6462068606773538,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Median of Two Sorted Arrays,58.1,0.43488034833267925,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Palindrome Number,57.9,0.5903900546797897,https://leetcode.com/problems/palindrome-number,Math
