Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5554646702012961,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Create Hello World Function,96.6,0.8213019341290763,https://leetcode.com/problems/create-hello-world-function,
EASY,Merge Sorted Array,76.0,0.526787792431434,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Longest Common Prefix,73.8,0.45269015058865475,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Maximum Subarray,73.8,0.5197312334806148,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Merge Strings Alternately,73.8,0.821945970517832,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Recyclable and Low Fat Products,71.2,0.8933884976314765,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
MEDIUM,Longest Substring Without Repeating Characters,71.2,0.36716058876165225,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Median of Two Sorted Arrays,71.2,0.4348808791658774,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Add Two Numbers,71.2,0.4594131743941432,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,LRU Cache,71.2,0.449367816799087,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,3Sum,71.2,0.3684032266093177,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Number of Islands,68.4,0.6206899691824863,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Move Zeroes,68.4,0.6272145688655723,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Find Peak Element,68.4,0.4646475948074154,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Best Time to Buy and Sell Stock,65.3,0.5506566323148052,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Merge Two Sorted Lists,65.3,0.6665304144801787,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Merge Intervals,61.6,0.49193339333454633,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Majority Element,61.6,0.6565326037448603,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Min Stack,61.6,0.5623406481083035,https://leetcode.com/problems/min-stack,"Stack, Design"
HARD,Trapping Rain Water,61.6,0.648117780889656,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,61.6,0.7072400249041696,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Reverse Integer,61.6,0.30138552722931117,https://leetcode.com/problems/reverse-integer,Math
HARD,Merge k Sorted Lists,61.6,0.5644299150289829,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Happy Number,61.6,0.5788709730489431,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Palindrome Number,61.6,0.590390170157977,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Longest Palindromic Substring,61.6,0.35648331859359783,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Reverse Linked List,61.6,0.7900444471992583,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Kth Largest Element in an Array,57.3,0.6783367806719772,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Combination Sum,57.3,0.7439592690287778,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
EASY,Reverse Vowels of a String,57.3,0.5778840276864813,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
MEDIUM,Daily Temperatures,57.3,0.6721551971232771,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Subarray Sum Equals K,57.3,0.4528264772972974,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,Sliding Window Maximum,57.3,0.47465416400966937,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Single Number,57.3,0.7573433255425502,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Sort Colors,57.3,0.6683256024399395,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Climbing Stairs,57.3,0.534767866183329,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Letter Combinations of a Phone Number,57.3,0.6359893216016992,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Roman to Integer,57.3,0.6462069170647342,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,House Robber,57.3,0.5218918781315529,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Next Permutation,52.0,0.4279287449005228,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Rotate Image,52.0,0.776210280910822,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Is Subsequence,52.0,0.4831707629652835,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
EASY,Ransom Note,52.0,0.643193715050359,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
MEDIUM,String to Integer (atoi),52.0,0.1902804486466948,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Rotate Array,52.0,0.42805601000785926,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
