Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5490428664434888,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Sorted Array,82.2,0.5209807118074355,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,LRU Cache,76.2,0.44265018685351715,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Best Time to Buy and Sell Stock,76.2,0.5468401855872215,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,73.7,0.36201643730857,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Add Two Numbers,72.3,0.45272478932944726,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Trapping Rain Water,70.8,0.6412326026420436,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Number of Islands,69.2,0.6142361819993479,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Majority Element,66.6,0.654590553940058,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Palindrome Number,64.6,0.5850829429550621,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Group Anagrams,64.6,0.7021296949239332,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Climbing Stairs,64.6,0.5331670216446867,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Merge Intervals,64.6,0.4869510184230158,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Palindromic Substring,63.5,0.3518924743756259,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Median of Two Sorted Arrays,63.5,0.4274720239458956,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Maximum Subarray,62.4,0.5164878226060033,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,3Sum,62.4,0.3627881939242188,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,House Robber,62.4,0.519219965490317,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Valid Parentheses,62.4,0.4173934095112961,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Container With Most Water,58.5,0.570398787194212,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Longest Common Prefix,58.5,0.4474551957852234,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Rotate Image,57.0,0.7701659223402361,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Search in Rotated Sorted Array,57.0,0.4221766804746715,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Merge Two Sorted Lists,57.0,0.6615282490536238,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Remove Element,57.0,0.5929223942247036,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
EASY,Roman to Integer,57.0,0.6397786665286721,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Reverse Words in a String,57.0,0.49591702879288874,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Jump Game,55.4,0.39056440660621633,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Spiral Matrix,55.4,0.5271677495280578,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Next Permutation,55.4,0.4217891093369703,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
