Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5554646810410141,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Sorted Array,83.2,0.526787792431434,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,79.5,0.36716058876165225,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Add Two Numbers,78.7,0.4594131743941432,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
HARD,Trapping Rain Water,77.6,0.648117780889656,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Palindromic Substring,76.7,0.35648331859359783,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,74.5,0.42159981271375,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Merge Intervals,73.1,0.49193339333454633,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Maximum Subarray,72.8,0.5197312334806148,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Median of Two Sorted Arrays,71.6,0.4348808791658774,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Group Anagrams,71.3,0.7072400249041696,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Reverse Nodes in k-Group,70.6,0.6268017346629305,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,3Sum,70.3,0.36840316820721214,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Roman to Integer,69.7,0.6462069170647342,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Container With Most Water,69.3,0.5757709586209866,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Spiral Matrix,68.6,0.5357353637510847,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Merge Two Sorted Lists,68.2,0.6665304144801787,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Search in Rotated Sorted Array,67.5,0.42648608936912785,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Climbing Stairs,65.9,0.5347679259325376,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Rotate Image,65.5,0.776210280910822,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Merge k Sorted Lists,65.0,0.5644299150289829,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Palindrome Number,65.0,0.590390170157977,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Letter Combinations of a Phone Number,64.6,0.6359894134680735,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Reverse Integer,64.1,0.301385579682169,https://leetcode.com/problems/reverse-integer,Math
EASY,Longest Common Prefix,63.7,0.45269015058865475,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Remove Duplicates from Sorted Array,62.2,0.6004882626119692,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Set Matrix Zeroes,61.7,0.5949790709841555,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Sort Colors,61.2,0.6683256815068158,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Minimum Path Sum,61.2,0.6624650919401317,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Generate Parentheses,60.6,0.7691554440884587,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
