Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find the Integer Added to Array I,100.0,0.8188051280219978,https://leetcode.com/problems/find-the-integer-added-to-array-i,Array
MEDIUM,Find the Integer Added to Array II,100.0,0.3158603598750135,https://leetcode.com/problems/find-the-integer-added-to-array-ii,"Array, Two Pointers, Sorting, Enumeration"
MEDIUM,Minimum Substring Partition of Equal Character Frequency,100.0,0.38741423348525067,https://leetcode.com/problems/minimum-substring-partition-of-equal-character-frequency,"Hash Table, String, Dynamic Programming, Counting"
HARD,Construct String with Minimum Cost,100.0,0.19247119806564786,https://leetcode.com/problems/construct-string-with-minimum-cost,"Array, String, Dynamic Programming, Suffix Array"
MEDIUM,Maximum Total Reward Using Operations I,100.0,0.2972795698924731,https://leetcode.com/problems/maximum-total-reward-using-operations-i,"Array, Dynamic Programming"
HARD,Maximum Total Reward Using Operations II,100.0,0.2045491691637156,https://leetcode.com/problems/maximum-total-reward-using-operations-ii,"Array, Dynamic Programming, Bit Manipulation"
MEDIUM,Shortest Subarray With OR at Least K II,100.0,0.5025198097425652,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-ii,"Array, Bit Manipulation, Sliding Window"
EASY,Shortest Subarray With OR at Least K I,100.0,0.4244206683231074,https://leetcode.com/problems/shortest-subarray-with-or-at-least-k-i,"Array, Bit Manipulation, Sliding Window"
MEDIUM,Right Triangles,100.0,0.4658889512058329,https://leetcode.com/problems/right-triangles,"Array, Hash Table, Math, Combinatorics, Counting"
MEDIUM,Symmetric Coordinates,100.0,0.40685185185185185,https://leetcode.com/problems/symmetric-coordinates,Database
EASY,Pascal's Triangle,71.1,0.7663224811100682,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Next Permutation,71.1,0.42587663037443124,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Next Greater Element III,61.3,0.34461547954424065,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
MEDIUM,Zigzag Conversion,61.3,0.5107320970159243,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Jump Game II,61.3,0.41244828692106433,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
EASY,Valid Parentheses,61.3,0.4202417094335835,https://leetcode.com/problems/valid-parentheses,"String, Stack"
