Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Asteroid Collision,100.0,0.45328712344638405,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Trapping Rain Water,91.7,0.6481316777791186,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,LRU Cache,91.7,0.4493745627680997,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Repeated Substring Pattern,91.7,0.4678533339422481,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching"
MEDIUM,Flatten Binary Tree to Linked List,79.9,0.6820582362128902,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
MEDIUM,Group Anagrams,79.9,0.7072452410134928,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximum Earnings From Taxi,79.9,0.44754597633829213,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Largest Number,79.9,0.4111652360031932,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Maximal Square,79.9,0.48555316324032183,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimum Time to Collect All Apples in a Tree,79.9,0.6291153225878306,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search"
MEDIUM,3Sum,79.9,0.3684085628732121,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,79.9,0.5506628893616212,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
