Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.49027498814294673,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Reconstruct Itinerary,89.4,0.43456952640611407,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Meeting Rooms II,89.4,0.5200584577963535,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,First Missing Positive,87.7,0.4080063369411735,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Logger Rate Limiter,85.8,0.7640880938360963,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Random Pick with Weight,81.4,0.48327182532592206,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Flatten Nested List Iterator,78.8,0.6524340921911087,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,LRU Cache,75.8,0.44717787125436975,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Top K Frequent Elements,75.8,0.6425186149975793,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Summary Ranges,72.4,0.5275588915652974,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Time Based Key-Value Store,72.4,0.4939624068140916,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Cache With Time Limit,63.5,0.7561674587442982,https://leetcode.com/problems/cache-with-time-limit,
MEDIUM,Insert Delete GetRandom O(1),63.5,0.5496807812235717,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Longest Substring Without Repeating Characters,63.5,0.36543889035543214,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Daily Temperatures,57.2,0.671009458863768,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Top K Frequent Words,57.2,0.5904271630106127,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Word Search,57.2,0.44838773851509744,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Spiral Matrix,57.2,0.5330334207583659,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Best Time to Buy and Sell Stock,57.2,0.5492506852111566,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,57.2,0.4250779659339041,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Kth Largest Element in an Array,57.2,0.6774060705217805,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Course Schedule II,57.2,0.5291120570911753,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Minimum Remove to Make Valid Parentheses,48.4,0.7043981209811419,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
HARD,Number of Flowers in Full Bloom,48.4,0.5704135554983387,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Network Delay Time,48.4,0.567154359083493,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Generate Parentheses,48.4,0.7675043375868441,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Word Break,48.4,0.48020574632819757,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Coin Change,48.4,0.460463284724398,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Rotate Image,48.4,0.7742719141998831,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Valid Parentheses,48.4,0.4202357901282674,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Rotate Array,48.4,0.4265257727893293,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Merge Sorted Array,48.4,0.5249695251266011,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Contains Duplicate II,48.4,0.48481283702228317,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Implement Queue using Stacks,48.4,0.6791059458932466,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
HARD,Text Justification,48.4,0.47493079690922935,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Find Duplicate File in System,48.4,0.6755447330902484,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
MEDIUM,Koko Eating Bananas,48.4,0.48954554675545525,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
