Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Car Fleet,100.0,0.533815314491992,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Check If Word Is Valid After Substitutions,100.0,0.6011566226618275,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,"String, Stack"
HARD,Delivering Boxes from Storage to Ports,97.5,0.393562253211376,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports,"Array, Dynamic Programming, Segment Tree, Queue, Heap (Priority Queue), Prefix Sum, Monotonic Queue"
MEDIUM,Minimum Processing Time,97.5,0.6918079242479221,https://leetcode.com/problems/minimum-processing-time,"Array, Greedy, Sorting"
MEDIUM,Swap For Longest Repeated Character Substring,97.5,0.43637925480511114,https://leetcode.com/problems/swap-for-longest-repeated-character-substring,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Sum of an Hourglass,97.5,0.758581642887185,https://leetcode.com/problems/maximum-sum-of-an-hourglass,"Array, Matrix, Prefix Sum"
MEDIUM,Partitioning Into Minimum Number Of Deci-Binary Numbers,97.5,0.8862524712601596,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers,"String, Greedy"
MEDIUM,Grumpy Bookstore Owner,97.5,0.6407432938888672,https://leetcode.com/problems/grumpy-bookstore-owner,"Array, Sliding Window"
HARD,Online Majority Element In Subarray,97.5,0.3908012906142748,https://leetcode.com/problems/online-majority-element-in-subarray,"Array, Binary Search, Design, Binary Indexed Tree, Segment Tree"
MEDIUM,Broken Calculator,97.5,0.5509037402318506,https://leetcode.com/problems/broken-calculator,"Math, Greedy"
MEDIUM,Detect Cycles in 2D Grid,97.5,0.5015516086739169,https://leetcode.com/problems/detect-cycles-in-2d-grid,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,LRU Cache,79.0,0.45077547556519987,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Pacific Atlantic Water Flow,73.1,0.5739982821930285,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Rotting Oranges,73.1,0.5647294569067834,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Sliding Window Maximum,73.1,0.47536765011198573,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
