Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Special Binary String,100.0,0.6319188191881919,https://leetcode.com/problems/special-binary-string,"String, Recursion"
MEDIUM,Group Anagrams,96.3,0.7056682646434179,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximize Greatness of an Array,92.1,0.5798630918425556,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
EASY,Reverse Bits,87.1,0.6253211617319095,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Search in Rotated Sorted Array,87.1,0.425077485221234,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Rotate List,87.1,0.3959815145715781,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Reverse Words in a String,81.0,0.508040675723244,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,4Sum,81.0,0.37807039059033626,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,81.0,0.3654383754454004,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Remove Stones to Minimize the Total,81.0,0.6434030067424231,https://leetcode.com/problems/remove-stones-to-minimize-the-total,"Array, Greedy, Heap (Priority Queue)"
EASY,Valid Parentheses,81.0,0.42023512934057033,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Maximum Subarray,81.0,0.5186405843405226,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Unique Paths II,81.0,0.42885434542639655,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Two Sum,81.0,0.5533847424116323,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Dot Product of Two Sparse Vectors,81.0,0.8993473050838816,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
EASY,Last Stone Weight,81.0,0.6582936792015833,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Minimum Path Sum,73.1,0.6607128416763232,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Number of Islands,73.1,0.6186242864544798,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Merge k Sorted Lists,73.1,0.5615763524004282,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Best Time to Buy and Sell Stock,73.1,0.5492509184747305,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Max Sum of a Pair With Equal Sum of Digits,73.1,0.659934189419771,https://leetcode.com/problems/max-sum-of-a-pair-with-equal-sum-of-digits,"Array, Hash Table, Sorting, Heap (Priority Queue)"
MEDIUM,LRU Cache,73.1,0.44717755944128756,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Remove Duplicates from Sorted List II,62.0,0.4946857298797543,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
MEDIUM,Spiral Matrix,62.0,0.5330321363871245,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Valid Anagram,62.0,0.663302290435245,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
HARD,Delete Duplicate Folders in System,62.0,0.535450997398092,https://leetcode.com/problems/delete-duplicate-folders-in-system,"Array, Hash Table, String, Trie, Hash Function"
MEDIUM,Insert Delete GetRandom O(1),62.0,0.5496803508973109,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,String Compression,62.0,0.5758847368813674,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Restore IP Addresses,62.0,0.5261771988847063,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,String to Integer (atoi),62.0,0.1889227300771117,https://leetcode.com/problems/string-to-integer-atoi,String
HARD,Integer to English Words,62.0,0.34274242670672167,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Maximal Square,62.0,0.4841214174887579,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Rotate Image,62.0,0.7742718582289804,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,The Maze,62.0,0.592155859072636,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Rectangle Area,62.0,0.47125865674218737,https://leetcode.com/problems/rectangle-area,"Math, Geometry"
MEDIUM,Minimum Knight Moves,62.0,0.4120620578969268,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
MEDIUM,Course Schedule II,62.0,0.5291120803508438,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Subarray Sum Equals K,62.0,0.45117851400398346,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
