Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Last Stone Weight,100.0,0.6580371076355379,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,LRU Cache,88.4,0.44550537056427847,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Minimum Operations to Reduce an Integer to 0,85.4,0.5672713404523446,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
MEDIUM,Group Anagrams,83.8,0.7043761613323031,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Special Binary String,83.8,0.6322451888809694,https://leetcode.com/problems/special-binary-string,"String, Recursion"
EASY,Two Sum,80.2,0.5518537150545747,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,80.2,0.3641853044951498,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,80.2,0.5482913059345312,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Maximum Number of Visible Points,76.0,0.37485585318440906,https://leetcode.com/problems/maximum-number-of-visible-points,"Array, Math, Geometry, Sliding Window, Sorting"
EASY,Reverse Bits,76.0,0.6232757347320085,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Number of Islands,76.0,0.6170169400459833,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Search in Rotated Sorted Array,73.5,0.4240112666032098,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Valid Parentheses,70.8,0.41916917405364484,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Missing Number,70.8,0.6945513061979923,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Dot Product of Two Sparse Vectors,70.8,0.8991614114075083,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design"
MEDIUM,Merge Intervals,67.7,0.48881481116507636,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Task Scheduler II,67.7,0.5370154269843863,https://leetcode.com/problems/task-scheduler-ii,"Array, Hash Table, Simulation"
MEDIUM,Add Two Numbers,67.7,0.4555575600333561,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Copy List with Random Pointer,64.1,0.5965903322874199,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Move Zeroes,64.1,0.6257715557244814,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Fibonacci Number,64.1,0.7259659645321003,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Rotate Image,64.1,0.7727236876124508,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Merge k Sorted Lists,64.1,0.5594070491603078,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Climbing Stairs,64.1,0.5337001377334699,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Maximum Subarray,64.1,0.5179054339455493,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
