Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find Valid Pair of Adjacent Digits in String,100.0,0.6161814910112171,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string,"Hash Table, String, Counting"
MEDIUM,Number of Islands,94.8,0.6186243302943656,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,LRU Cache,91.8,0.4471760822101147,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,91.8,0.36543816072020063,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Sliding Window Maximum,88.4,0.4736676999472209,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Design Authentication Manager,88.4,0.5801466306311687,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,79.7,0.5615761495359796,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Binary Tree Right Side View,74.0,0.6618823231095944,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Remove All Adjacent Duplicates in String II,74.0,0.592798500014725,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Top K Frequent Elements,74.0,0.642517806620676,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Palindromic Substrings,66.6,0.7141024030766903,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
EASY,Valid Anagram,66.6,0.6633019012155653,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Longest Increasing Subsequence,66.6,0.5738401616767514,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Group Anagrams,66.6,0.7056681739090287,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,66.6,0.5533846828601375,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,66.6,0.42023501953375897,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,66.6,0.4250773597037542,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Binary Tree Maximum Path Sum,66.6,0.4102290946816081,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,N-Queens,66.6,0.7205617625241842,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Gas Station,56.3,0.46099594543055145,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Search Suggestions System,56.3,0.6501836385374287,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Course Schedule,56.3,0.48714215330297106,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Merge Intervals,56.3,0.490274876061548,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Distinct Islands,56.3,0.6204397983648693,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
HARD,Basic Calculator III,56.3,0.521333722457318,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Cache With Time Limit,56.3,0.7561645471371424,https://leetcode.com/problems/cache-with-time-limit,
EASY,Palindrome Number,56.3,0.5886326629595667,https://leetcode.com/problems/palindrome-number,Math
EASY,Reverse Vowels of a String,56.3,0.5745451390028941,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
