Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4507741235902909,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,93.3,0.3682179893349592,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,91.3,0.6219955580938793,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Find Valid Pair of Adjacent Digits in String,89.1,0.5939864209505334,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string,"Hash Table, String, Counting"
MEDIUM,Group Anagrams,86.7,0.7083642005663989,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Design Authentication Manager,84.1,0.5776455588610285,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Sliding Window Maximum,84.1,0.4753676732101804,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Two Sum,84.1,0.5568013756296507,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Top K Frequent Elements,81.2,0.6447821145339919,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Binary Tree Right Side View,77.8,0.6680514142220032,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Merge k Sorted Lists,74.0,0.5660774386890178,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Container With Most Water,69.4,0.5768080562527177,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Search in Rotated Sorted Array,69.4,0.42739837679008813,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Simplify Path,69.4,0.4765659811472954,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Remove All Adjacent Duplicates in String II,69.4,0.5951884362579019,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
EASY,Valid Parentheses,69.4,0.4224524325881556,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,3Sum,69.4,0.3695613664951531,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,LFU Cache,69.4,0.46437953008707494,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Decode String,69.4,0.6107511847812385,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Minimum Absolute Difference,69.4,0.7056968801053555,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Merge Intervals,69.4,0.49292436827504316,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Palindromic Substrings,63.9,0.7160941493170401,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Longest Increasing Subsequence,63.9,0.5767690292781888,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
EASY,Roman to Integer,63.9,0.6475822774544099,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Valid Anagram,63.9,0.6657001079254189,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Pour Water,63.9,0.4782623288284257,https://leetcode.com/problems/pour-water,"Array, Simulation"
EASY,Count Vowel Substrings of a String,63.9,0.713290717649671,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,Binary Tree Maximum Path Sum,63.9,0.41163480330943614,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Gas Station,56.7,0.46305959298338023,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Number of Distinct Islands,56.7,0.62203905119576,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
MEDIUM,Rotting Oranges,56.7,0.5647287756989011,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,String Compression,56.7,0.5795962019962896,https://leetcode.com/problems/string-compression,"Two Pointers, String"
HARD,N-Queens,56.7,0.7258160839824069,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Jump Game,56.7,0.39401250232993573,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Maximum Number of Events That Can Be Attended,56.7,0.32895723121057413,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
