Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4471762033833217,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,91.7,0.6186244007667082,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,89.2,0.5533846610920355,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,87.8,0.36543832104819274,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Merge Intervals,87.1,0.49027479803156365,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Palindromic Substring,80.4,0.354909566127792,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Group Anagrams,79.4,0.7056681514005322,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Search in Rotated Sorted Array,72.2,0.42507744850294815,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Merge k Sorted Lists,72.2,0.5615761495359796,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Container With Most Water,70.8,0.5740095414311913,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Binary Tree Right Side View,70.8,0.6618823231095944,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Trapping Rain Water,69.2,0.6456470945264313,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Add Two Numbers,69.2,0.4571983145561027,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Spiral Matrix,69.2,0.5330317339951285,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Longest Consecutive Sequence,67.5,0.4712668416620044,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Jump Game,65.7,0.3921420433866521,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,3Sum,65.7,0.36665410168782403,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,63.8,0.5492508155338923,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,"Pow(x, n)",63.8,0.3669484506152283,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Merge Two Sorted Lists,61.7,0.664896648310728,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Reverse Linked List,61.7,0.7884952278162722,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Roman to Integer,61.7,0.6441534184268036,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Course Schedule II,59.3,0.5291120803508438,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Word Search,59.3,0.44838738096431463,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Maximum Subarray,59.3,0.5186404331374109,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,59.3,0.4102289847671262,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Binary Tree Zigzag Level Order Traversal,59.3,0.6124384632532243,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Course Schedule,59.3,0.48714191730598183,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Gas Station,59.3,0.46099594543055145,https://leetcode.com/problems/gas-station,"Array, Greedy"
HARD,First Missing Positive,56.7,0.4080048842203535,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Jump Game II,56.7,0.4124454756288568,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Combination Sum,56.7,0.7418790361780432,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
EASY,Linked List Cycle,56.7,0.521795589181733,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Min Stack,56.7,0.5611001649384189,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Validate Binary Search Tree,53.7,0.34117886754579707,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Set Matrix Zeroes,53.7,0.5925541674049983,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Kth Largest Element in an Array,53.7,0.6774050953453038,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Lowest Common Ancestor of a Binary Tree,53.7,0.6606720710789732,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Generate Parentheses,53.7,0.7675031663032121,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Longest Common Prefix,50.2,0.4510199274256228,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Isomorphic Strings,50.2,0.4656378311183352,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Copy List with Random Pointer,50.2,0.5987535446409938,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Kth Smallest Element in a BST,50.2,0.7493602326140807,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Maximal Square,50.2,0.484121711481168,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
HARD,Median of Two Sorted Arrays,50.2,0.43234231526164146,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Sort Colors,50.2,0.6663760815751603,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Letter Combinations of a Phone Number,50.2,0.6336667913501535,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Rotate Image,50.2,0.7742718582289804,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Minimum Size Subarray Sum,50.2,0.48965081696910623,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Integer to Roman,50.2,0.6809699143113179,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Find First and Last Position of Element in Sorted Array,50.2,0.46386062469251516,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Decode Ways,50.2,0.3624881968313921,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
HARD,Longest Valid Parentheses,46.2,0.35901522040943157,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
EASY,Majority Element,46.2,0.6557183590781831,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Rotate Array,46.2,0.426525328512126,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
HARD,Word Break II,46.2,0.5318039231603301,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Combination Sum II,46.2,0.5734204641957046,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Permutations,46.2,0.8033206000683455,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Zigzag Conversion,46.2,0.5107253398816135,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Largest Number,41.3,0.40995835901969224,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
EASY,Remove Duplicates from Sorted Array,41.3,0.5980692261585312,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Find Peak Element,41.3,0.4639843511045985,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Unique Paths,41.3,0.6553761286817508,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
EASY,Invert Binary Tree,41.3,0.7875050801381114,https://leetcode.com/problems/invert-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Palindrome Number,41.3,0.5886326460116081,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Rotate List,41.3,0.39598074405506983,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
HARD,Max Points on a Line,41.3,0.28614867164709706,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry"
EASY,Merge Sorted Array,41.3,0.5249696225172699,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Insert Interval,41.3,0.43125193881342627,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Populating Next Right Pointers in Each Node,41.3,0.6506488179867894,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Restore IP Addresses,41.3,0.5261777251066341,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
HARD,Sudoku Solver,41.3,0.6370823970454567,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,Sort List,35.0,0.6119152496553546,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
EASY,Palindrome Linked List,35.0,0.5539960723426278,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Implement Queue using Stacks,35.0,0.6791054243296674,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
HARD,Text Justification,35.0,0.4749298494130809,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Count Number of Pairs With Absolute Difference K,35.0,0.8460470586154759,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,"Array, Hash Table, Counting"
EASY,Implement Stack using Queues,35.0,0.6681762825976452,https://leetcode.com/problems/implement-stack-using-queues,"Stack, Design, Queue"
HARD,Basic Calculator,35.0,0.45153197286572533,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
EASY,Remove Duplicates from Sorted List,35.0,0.5453672076385022,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
MEDIUM,Divide Two Integers,35.0,0.18234244014908169,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
HARD,Regular Expression Matching,35.0,0.2906627832988812,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Path Sum II,35.0,0.6016846968331812,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Valid Sudoku,35.0,0.6189171721731124,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Excel Sheet Column Title,35.0,0.4307724908711748,https://leetcode.com/problems/excel-sheet-column-title,"Math, String"
