Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.42160354575062337,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Squares of a Sorted Array,84.0,0.7317572065774582,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Move Zeroes,77.4,0.6272168032517914,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Merge Intervals,77.4,0.4919420654048896,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Two Sum,77.4,0.5554753286901678,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Reverse Linked List,68.1,0.7900543396774438,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Merge Sorted Array,68.1,0.5267943606091755,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Invert Binary Tree,68.1,0.7887180228870423,https://leetcode.com/problems/invert-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Department Top Three Salaries,68.1,0.5743799473560562,https://leetcode.com/problems/department-top-three-salaries,Database
EASY,First Unique Character in a String,68.1,0.6352111833567535,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
