Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.44936927999184917,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find the Longest Equal Subarray,98.0,0.3602478250915751,https://leetcode.com/problems/find-the-longest-equal-subarray,"Array, Hash Table, Binary Search, Sliding Window"
MEDIUM,Longest Substring Without Repeating Characters,83.9,0.3671610095802979,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Median of Two Sorted Arrays,79.7,0.4348818163583246,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,String Compression,79.7,0.5782723291661112,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Maximum Length of a Concatenated String with Unique Characters,74.5,0.5422601784370173,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters,"Array, String, Backtracking, Bit Manipulation"
EASY,Meeting Rooms,67.8,0.5889716060100336,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
HARD,Sliding Window Maximum,67.8,0.47465323443825935,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
EASY,Two Sum,67.8,0.5554656959927664,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Minimum Path Sum,67.8,0.6624661432921335,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Min Stack,67.8,0.5623417563250583,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Group Anagrams,67.8,0.7072415521969837,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Word Break,58.4,0.4813170739320073,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
EASY,Design HashMap,58.4,0.6583893087524872,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Binary Tree Level Order Traversal,58.4,0.7030868926890576,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Merge Sorted Array,58.4,0.5267883944704438,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Merge Two Sorted Lists,58.4,0.6665311001804656,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Integer to Roman,58.4,0.6832938458342389,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Shortest Path in Binary Matrix,58.4,0.49516848957710075,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Top K Frequent Words,58.4,0.5915501088815971,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Longest Palindromic Substring,58.4,0.35648500132895705,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
