Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find Words That Can Be Formed by Characters,100.0,0.710039682254928,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
MEDIUM,Word Search,91.0,0.45026561689269784,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Maximal Square,91.0,0.4855500127540584,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Coin Change,87.0,0.46233601435136734,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Number of Islands,82.4,0.6206900885057614,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,LRU Cache,76.8,0.4493678605172342,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Minimum Absolute Difference,76.8,0.7052931109018661,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Product of Array Except Self,69.5,0.6762124330565523,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Asteroid Collision,69.5,0.45327874824731995,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Longest Increasing Subsequence,69.5,0.5755244928439825,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Maximum Number of Events That Can Be Attended,69.5,0.3287155806396443,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Zigzag Conversion,69.5,0.5132151761053041,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Group Anagrams,69.5,0.707240357115704,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Best Time to Buy and Sell Stock,69.5,0.550657121152328,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Loud and Rich,69.5,0.6141987951205379,https://leetcode.com/problems/loud-and-rich,"Array, Depth-First Search, Graph, Topological Sort"
MEDIUM,Course Schedule,59.3,0.4894562938249467,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Palindromic Substrings,59.3,0.7152152246408093,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find the Smallest Divisor Given a Threshold,59.3,0.6317150512107441,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
HARD,Binary Tree Maximum Path Sum,59.3,0.4111831552777203,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,3Sum Smaller,59.3,0.5097039289230041,https://leetcode.com/problems/3sum-smaller,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Search a 2D Matrix II,59.3,0.5495725988538431,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
EASY,Degree of an Array,59.3,0.5730028000431497,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
HARD,Median of Two Sorted Arrays,59.3,0.4348809695015811,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Valid Sudoku,59.3,0.6206545888646939,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Valid Parentheses,59.3,0.42159993408119656,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Flatten Deeply Nested Array,59.3,0.6430891742446615,https://leetcode.com/problems/flatten-deeply-nested-array,
EASY,Last Stone Weight,59.3,0.6587682973889178,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
MEDIUM,Random Pick with Weight,59.3,0.4815753456159076,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Spiral Matrix,59.3,0.5357349085936135,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Find Median from Data Stream,59.3,0.5311631899384748,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,First Missing Positive,59.3,0.4093488802592168,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
