Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Zigzag Conversion,100.0,0.5060174179868321,https://leetcode.com/problems/zigzag-conversion,String
HARD,Minimum Replacements to Sort the Array,78.4,0.5331800565944882,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
EASY,Best Time to Buy and Sell Stock,73.6,0.5468401566970827,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Group Anagrams,70.7,0.7021301708262677,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,67.4,0.5490430543544039,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Merge Sorted Array,67.4,0.5209810204036224,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,67.4,0.6412319902914771,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Pairs of Songs With Total Durations Divisible by 60,63.4,0.5312449399016006,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
MEDIUM,Reorganize String,63.4,0.556895862280913,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,LRU Cache,63.4,0.4426513743336826,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,58.6,0.3620164203154232,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Subarray Sum Equals K,58.6,0.4479042100548651,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Merge Intervals,58.6,0.48695104431830943,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Top K Frequent Elements,58.6,0.639748597259948,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Meeting Rooms III,58.6,0.43990476947325197,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
EASY,Count the Number of Vowel Strings in Range,58.6,0.7447753369175258,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,"Array, String, Counting"
MEDIUM,Word Search,58.6,0.44488205565961564,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Number of Islands,58.6,0.6142364623114659,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Reverse Linked List,52.4,0.7852415549477877,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
HARD,Maximum Frequency Stack,52.4,0.6665860039700076,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
MEDIUM,Time Needed to Rearrange a Binary String,52.4,0.5142082947238368,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
MEDIUM,Count Vowel Strings in Ranges,52.4,0.6794097895836443,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum"
MEDIUM,Longest Increasing Subsequence,52.4,0.5706150540836742,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Maximum Product Subarray,52.4,0.3445881882774075,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Min Stack,52.4,0.5578051917279692,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Sort Colors,52.4,0.6618197056257196,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Find the Smallest Divisor Given a Threshold,52.4,0.6247908074308002,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
EASY,Valid Parentheses,52.4,0.4173935680843758,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Count Array Pairs Divisible by K,52.4,0.29708525363379934,https://leetcode.com/problems/count-array-pairs-divisible-by-k,"Array, Math, Number Theory"
HARD,Number of Valid Move Combinations On Chessboard,52.4,0.5094906166219839,https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard,"Array, String, Backtracking, Simulation"
MEDIUM,Find First and Last Position of Element in Sorted Array,52.4,0.4601850608820333,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Minimum Non-Zero Product of the Array Elements,43.7,0.3615851815208728,https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements,"Math, Greedy, Recursion"
MEDIUM,House Robber,43.7,0.5192201360489659,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
