Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Frog Jump,100.0,0.4644117944248671,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Decoded String at Index,91.1,0.3660227514314232,https://leetcode.com/problems/decoded-string-at-index,"String, Stack"
HARD,Burst Balloons,89.2,0.6084794313681915,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
HARD,Find Beautiful Indices in the Given Array II,84.9,0.26023020292238125,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
HARD,Viewers Turned Streamers,84.9,0.43167904129217144,https://leetcode.com/problems/viewers-turned-streamers,Database
HARD,Smallest Range Covering Elements from K Lists,84.9,0.6972127866564903,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Frequency of the Most Frequent Element,72.9,0.4400690058949984,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
HARD,Maximum Profit in Job Scheduling,72.9,0.5433638798469709,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Remove K Digits,72.9,0.3458779126734651,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,House Robber II,68.7,0.4328241572935419,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
HARD,Trapping Rain Water,68.7,0.6456480150939208,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,68.7,0.5492503729556497,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Bus Routes,68.7,0.4698179666589893,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Split Array Largest Sum,63.4,0.5761082234951591,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Most Stones Removed with Same Row or Column,63.4,0.6211291532002226,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
MEDIUM,Longest Palindromic Substring,63.4,0.35491093023864617,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Koko Eating Bananas,63.4,0.48954452261760645,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
HARD,Reachable Nodes In Subdivided Graph,63.4,0.507059477487493,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph,"Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Distribute Coins in Binary Tree,63.4,0.7711493351303776,https://leetcode.com/problems/distribute-coins-in-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Gas Station,63.4,0.460997954050849,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Merge Intervals,56.7,0.4902757337464562,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,House Robber III,56.7,0.5477723065403995,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Candy,56.7,0.4450988543126673,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,56.7,0.566216099312254,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Copy List with Random Pointer,56.7,0.5987551644372154,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
HARD,Minimum Cost to Cut a Stick,56.7,0.6180044892190724,https://leetcode.com/problems/minimum-cost-to-cut-a-stick,"Array, Dynamic Programming, Sorting"
MEDIUM,Jump Game II,56.7,0.4124470118077357,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,IPO,56.7,0.5300768819454597,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Sort Colors,56.7,0.6663768924490105,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Number of Islands,56.7,0.6186231638350221,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Amount of Time for Binary Tree to Be Infected,56.7,0.6328193512106304,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,House Robber,56.7,0.5209533767390613,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Rotting Oranges,56.7,0.5618141635528848,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Word Ladder,56.7,0.4218698594991466,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Maximum Tastiness of Candy Basket,56.7,0.6570315037349789,https://leetcode.com/problems/maximum-tastiness-of-candy-basket,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Simple Bank System,56.7,0.63360765185165,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
HARD,Best Time to Buy and Sell Stock III,56.7,0.5050903152836616,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
HARD,Decode Ways II,47.3,0.31094754445450223,https://leetcode.com/problems/decode-ways-ii,"String, Dynamic Programming"
HARD,Number of Islands II,47.3,0.4002453902053397,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
MEDIUM,Minimum Height Trees,47.3,0.4190976716189008,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Search in Rotated Sorted Array,47.3,0.4250781738739862,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Smallest String With Swaps,47.3,0.5918137850958594,https://leetcode.com/problems/smallest-string-with-swaps,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Find All Possible Recipes from Given Supplies,47.3,0.5639138949557144,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph, Topological Sort"
HARD,Sum of Distances in Tree,47.3,0.6526746624695862,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
MEDIUM,Walking Robot Simulation,47.3,0.5814806392110573,https://leetcode.com/problems/walking-robot-simulation,"Array, Hash Table, Simulation"
MEDIUM,Minimum Cost Tree From Leaf Values,47.3,0.6761650250381548,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
MEDIUM,Minimum Cost For Tickets,47.3,0.6740315250897766,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Best Time to Buy and Sell Stock II,47.3,0.6909026487813389,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Largest Rectangle in Histogram,47.3,0.468411713018312,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,47.3,0.6025208988847722,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
MEDIUM,Find the Celebrity,47.3,0.48296620052267564,https://leetcode.com/problems/find-the-celebrity,"Two Pointers, Graph, Interactive"
HARD,Check if Point Is Reachable,47.3,0.43143420311620045,https://leetcode.com/problems/check-if-point-is-reachable,"Math, Number Theory"
MEDIUM,LRU Cache,47.3,0.4471785180328961,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Magnetic Force Between Two Balls,47.3,0.7116820645949454,https://leetcode.com/problems/magnetic-force-between-two-balls,"Array, Binary Search, Sorting"
HARD,Find Minimum Time to Finish All Jobs,47.3,0.43063058280132194,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Queue Reconstruction by Height,47.3,0.7405184425993528,https://leetcode.com/problems/queue-reconstruction-by-height,"Array, Binary Indexed Tree, Segment Tree, Sorting"
MEDIUM,Complete Binary Tree Inserter,47.3,0.6628904759308728,https://leetcode.com/problems/complete-binary-tree-inserter,"Tree, Breadth-First Search, Design, Binary Tree"
MEDIUM,String Compression,47.3,0.5758868907147066,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Longest Repeating Character Replacement,47.3,0.5668886929361168,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Accounts Merge,47.3,0.5908715981212079,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Course Schedule II,47.3,0.5291121986841795,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Daily Temperatures,47.3,0.6710092633801724,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Alien Dictionary,47.3,0.3652805308247942,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Swim in Rising Water,47.3,0.623939882862597,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
MEDIUM,Find the Duplicate Number,47.3,0.6250924825081913,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Kth Smallest Element in a Sorted Matrix,47.3,0.6335094885024026,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
