Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Frog Jump,100.0,0.464236187488643,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
HARD,Burst Balloons,92.5,0.6069164805685224,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Decoded String at Index,92.5,0.36578040107579285,https://leetcode.com/problems/decoded-string-at-index,"String, Stack"
MEDIUM,Simple Bank System,86.6,0.6340453261892695,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Maximum Tastiness of Candy Basket,86.6,0.655785650266522,https://leetcode.com/problems/maximum-tastiness-of-candy-basket,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Smallest String With Swaps,86.6,0.5923435146501334,https://leetcode.com/problems/smallest-string-with-swaps,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Maximum Amount of Money Robot Can Earn,84.3,0.29730493920859563,https://leetcode.com/problems/maximum-amount-of-money-robot-can-earn,"Array, Dynamic Programming, Matrix"
HARD,Frequencies of Shortest Supersequences,84.3,0.24359993639688343,https://leetcode.com/problems/frequencies-of-shortest-supersequences,"Array, String, Bit Manipulation, Graph, Topological Sort, Enumeration"
MEDIUM,Remove K Digits,84.3,0.345009146834396,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
HARD,Count the Number of Arrays with K Matching Adjacent Elements,84.3,0.37590097148229396,https://leetcode.com/problems/count-the-number-of-arrays-with-k-matching-adjacent-elements,"Math, Combinatorics"
HARD,Smallest Range Covering Elements from K Lists,84.3,0.6979146352346985,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
HARD,Check if Point Is Reachable,84.3,0.43419797825672324,https://leetcode.com/problems/check-if-point-is-reachable,"Math, Number Theory"
HARD,Find Beautiful Indices in the Given Array II,84.3,0.25980457262119344,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
HARD,Viewers Turned Streamers,84.3,0.43332878394977487,https://leetcode.com/problems/viewers-turned-streamers,Database
HARD,Trapping Rain Water,78.8,0.6439786953087008,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Most Stones Removed with Same Row or Column,75.5,0.6211224790598379,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
HARD,Maximum Profit in Job Scheduling,75.5,0.5433744371158631,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Bus Routes,71.7,0.47018343085727166,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Longest Palindromic Substring,71.7,0.35378230106860736,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Frequency of the Most Frequent Element,71.7,0.4399218317606303,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Queue Reconstruction by Height,67.3,0.7401802426343154,https://leetcode.com/problems/queue-reconstruction-by-height,"Array, Binary Indexed Tree, Segment Tree, Sorting"
MEDIUM,House Robber,67.3,0.5202376398292272,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Candy,67.3,0.4442254282755965,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,House Robber II,67.3,0.43191095294259346,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
HARD,Split Array Largest Sum,67.3,0.5748660219292843,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
EASY,Best Time to Buy and Sell Stock,67.3,0.5482910530684767,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,IPO,61.8,0.5299933759943605,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
HARD,Reachable Nodes In Subdivided Graph,61.8,0.5067756747676112,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph,"Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Koko Eating Bananas,61.8,0.4890377118153395,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Kth Smallest Element in a Sorted Matrix,61.8,0.6328343292365393,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
MEDIUM,Distribute Coins in Binary Tree,61.8,0.7716779581370738,https://leetcode.com/problems/distribute-coins-in-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Amount of Time for Binary Tree to Be Infected,61.8,0.6322491024446939,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Jump Game II,61.8,0.4118347016329068,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,61.8,0.6044461407548303,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union Find, Sorting"
MEDIUM,Accounts Merge,61.8,0.5894497202913916,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Gas Station,61.8,0.4601299452780805,https://leetcode.com/problems/gas-station,"Array, Greedy"
HARD,Word Ladder,61.8,0.4198222197970807,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Find Minimum Time to Finish All Jobs,54.8,0.4302069631975948,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Best Time to Buy and Sell Stock III,54.8,0.5035524970342283,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,54.8,0.5667765002804263,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Rotting Oranges,54.8,0.5605295060414268,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Maximal Square,54.8,0.48309962260135364,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Merge Intervals,54.8,0.48881542535954287,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Sort Colors,54.8,0.6647653159427226,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Swim in Rising Water,54.8,0.6227713096965264,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
HARD,Sliding Window Maximum,54.8,0.47299679698291597,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Complete Binary Tree Inserter,54.8,0.6624875338367289,https://leetcode.com/problems/complete-binary-tree-inserter,"Tree, Breadth-First Search, Design, Binary Tree"
HARD,Minimum Cost to Cut a Stick,54.8,0.6179838377777521,https://leetcode.com/problems/minimum-cost-to-cut-a-stick,"Array, Dynamic Programming, Sorting"
MEDIUM,House Robber III,54.8,0.5474770874881055,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Number of Islands,54.8,0.6170179377475086,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Split Array into Consecutive Subsequences,54.8,0.5141756485083092,https://leetcode.com/problems/split-array-into-consecutive-subsequences,"Array, Hash Table, Greedy, Heap (Priority Queue)"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,45.1,0.21348416494751876,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
MEDIUM,Binary Tree Level Order Traversal,45.1,0.6993456309424444,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
HARD,Apply Operations to Maximize Frequency Score,45.1,0.3720011702750146,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score,"Array, Binary Search, Sliding Window, Sorting, Prefix Sum"
MEDIUM,Make Sum Divisible by P,45.1,0.39519823137602583,https://leetcode.com/problems/make-sum-divisible-by-p,"Array, Hash Table, Prefix Sum"
MEDIUM,Longest Substring Without Repeating Characters,45.1,0.36418626716956237,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Binary Tree Cameras,45.1,0.4703320631464344,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
