Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Shortest Path in a Grid with Obstacles Elimination,100.0,0.45462147748430054,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Count and Say,91.9,0.5771776324783046,https://leetcode.com/problems/count-and-say,String
HARD,Maximum Profit in Job Scheduling,91.9,0.5434907675212194,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Optimal Account Balancing,89.9,0.49684325288666437,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Count Subarrays With Score Less Than K,89.9,0.5554605117616694,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Find Median from Data Stream,85.1,0.5287633955775234,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Reconstruct Itinerary,78.9,0.43408538198169067,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Expression Add Operators,78.9,0.40963443149630246,https://leetcode.com/problems/expression-add-operators,"Math, String, Backtracking"
MEDIUM,Shortest Way to Form String,70.2,0.6073145518856174,https://leetcode.com/problems/shortest-way-to-form-string,"Two Pointers, String, Binary Search, Greedy"
HARD,Design Search Autocomplete System,70.2,0.4923760746057881,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
HARD,Meeting Rooms III,64.0,0.43990476947325197,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
EASY,Is Subsequence,55.3,0.48182271080892164,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Coin Change,55.3,0.4567927846377717,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
HARD,Bus Routes,55.3,0.4707718571405178,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Employee Free Time,55.3,0.7247389119411948,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
