Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Count and Say,100.0,0.5771776324783046,https://leetcode.com/problems/count-and-say,String
HARD,Maximum Profit in Job Scheduling,85.0,0.5434907675212194,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Shortest Path in a Grid with Obstacles Elimination,85.0,0.45462147748430054,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
HARD,Count Subarrays With Score Less Than K,83.2,0.5554605117616694,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Reorganize String,76.4,0.5568969138344085,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Shortest Way to Form String,74.9,0.6073145518856174,https://leetcode.com/problems/shortest-way-to-form-string,"Two Pointers, String, Binary Search, Greedy"
MEDIUM,Jump Game III,73.4,0.6570531735210924,https://leetcode.com/problems/jump-game-iii,"Array, Depth-First Search, Breadth-First Search"
HARD,Optimal Account Balancing,73.4,0.49684325288666437,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Find K-th Smallest Pair Distance,71.7,0.45568761255756896,https://leetcode.com/problems/find-k-th-smallest-pair-distance,"Array, Two Pointers, Binary Search, Sorting"
HARD,Reconstruct Itinerary,69.9,0.43408538198169067,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Find Median from Data Stream,67.9,0.5287633955775234,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Unique Paths III,63.1,0.8215314829618338,https://leetcode.com/problems/unique-paths-iii,"Array, Backtracking, Bit Manipulation, Matrix"
HARD,Expression Add Operators,63.1,0.40963443149630246,https://leetcode.com/problems/expression-add-operators,"Math, String, Backtracking"
HARD,Design Search Autocomplete System,60.1,0.4923760746057881,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,String Compression,60.1,0.570725602777312,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Is Subsequence,60.1,0.48182271080892164,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Sparse Matrix Multiplication,60.1,0.6849518893557328,https://leetcode.com/problems/sparse-matrix-multiplication,"Array, Hash Table, Matrix"
MEDIUM,Unique Paths II,60.1,0.42692052092904975,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimize Result by Adding Parentheses to Expression,52.4,0.6806345318286531,https://leetcode.com/problems/minimize-result-by-adding-parentheses-to-expression,"String, Enumeration"
MEDIUM,Is Graph Bipartite?,52.4,0.5710828677609853,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,The Number of Weak Characters in the Game,52.4,0.4413562146355668,https://leetcode.com/problems/the-number-of-weak-characters-in-the-game,"Array, Stack, Greedy, Sorting, Monotonic Stack"
MEDIUM,Meeting Rooms II,46.9,0.518722615122558,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Possible Bipartition,46.9,0.511184167828537,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Single Element in a Sorted Array,46.9,0.5915262222108703,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,Longest Word in Dictionary,46.9,0.5311859602530627,https://leetcode.com/problems/longest-word-in-dictionary,"Array, Hash Table, String, Trie, Sorting"
MEDIUM,Coin Change,46.9,0.4567927846377717,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
HARD,Meeting Rooms III,39.2,0.43990476947325197,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Top K Frequent Elements,39.2,0.6397485394989442,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Employee Free Time,39.2,0.7247389119411948,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
HARD,Find Median Given Frequency of Numbers,39.2,0.424971209727095,https://leetcode.com/problems/find-median-given-frequency-of-numbers,Database
MEDIUM,Multiply Strings,39.2,0.41714654633368925,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Number of Islands,39.2,0.6142362012419696,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Letter Combinations of a Phone Number,39.2,0.6290669025952582,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Ransom Note,39.2,0.6375927971699977,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
MEDIUM,Merge Intervals,39.2,0.48695116800491095,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Snakes and Ladders,39.2,0.43946342603767347,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
HARD,Shortest Path to Get All Keys,39.2,0.53636523931116,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
HARD,Smallest Range Covering Elements from K Lists,39.2,0.6980393606084836,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Implement Trie (Prefix Tree),39.2,0.6731794076570735,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
HARD,Sudoku Solver,39.2,0.6364567436738017,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,The Maze,39.2,0.5904783521534358,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
