Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Clone Graph,100.0,0.6238586619062403,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Longest Repeating Character Replacement,100.0,0.5721182355010312,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Word Break,100.0,0.482739888182738,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Sort Colors,100.0,0.6758313357788631,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Alien Dictionary,100.0,0.3667361451288913,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Non-negative Integers without Consecutive Ones,100.0,0.4030213766451369,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones,Dynamic Programming
HARD,Basic Calculator III,100.0,0.5246948282838411,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Top K Frequent Words,100.0,0.5927723758908081,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
HARD,Shortest Palindrome,100.0,0.4065591390802263,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function"
MEDIUM,Kth Largest Element in an Array,100.0,0.6797712416691327,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5499151153774708,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Find All Duplicates in an Array,100.0,0.7640875331476287,https://leetcode.com/problems/find-all-duplicates-in-an-array,"Array, Hash Table"
MEDIUM,Top K Frequent Elements,100.0,0.6456611344925648,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Find the Index of the First Occurrence in a String,100.0,0.4497156554644657,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Inorder Successor in BST,100.0,0.5066789131179683,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
