Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Find the Index of the First Occurrence in a String,100.0,0.4454282380285058,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Sort Colors,100.0,0.6647689833439224,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Non-negative Integers without Consecutive Ones,100.0,0.40248363228907186,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones,Dynamic Programming
MEDIUM,Clone Graph,100.0,0.6136484038881082,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Word Break,100.0,0.4793537302787973,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Top K Frequent Words,100.0,0.5897248746825593,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
HARD,Shortest Palindrome,100.0,0.4036648237853829,https://leetcode.com/problems/shortest-palindrome,"String, Rolling Hash, String Matching, Hash Function"
MEDIUM,Kth Largest Element in an Array,100.0,0.6767051311942218,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Alien Dictionary,100.0,0.3646105199334057,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Basic Calculator III,100.0,0.520214761151767,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Inorder Successor in BST,100.0,0.5051550538490159,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Top K Frequent Elements,100.0,0.6415109744510388,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Insert Delete GetRandom O(1),100.0,0.549329070049414,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Longest Repeating Character Replacement,100.0,0.5654093419269924,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Find All Duplicates in an Array,100.0,0.7625753207631181,https://leetcode.com/problems/find-all-duplicates-in-an-array,"Array, Hash Table"
