Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Construct Target Array With Multiple Sums,100.0,0.36232090031477326,https://leetcode.com/problems/construct-target-array-with-multiple-sums,"Array, Heap (Priority Queue)"
MEDIUM,Number of Subarrays with Bounded Maximum,65.2,0.5360596965149241,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,"Array, Two Pointers"
EASY,Substrings of Size Three with Distinct Characters,65.2,0.7506451037230323,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters,"Hash Table, String, Sliding Window, Counting"
MEDIUM,Encode Number,65.2,0.700352021979909,https://leetcode.com/problems/encode-number,"Math, String, Bit Manipulation"
MEDIUM,Sort the Matrix Diagonally,65.2,0.8292569419308135,https://leetcode.com/problems/sort-the-matrix-diagonally,"Array, Sorting, Matrix"
MEDIUM,Get Biggest Three Rhombus Sums in a Grid,65.2,0.4899015774571929,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,"Array, Math, Sorting, Heap (Priority Queue), Matrix, Prefix Sum"
MEDIUM,Finding Pairs With a Certain Sum,65.2,0.5173087613496622,https://leetcode.com/problems/finding-pairs-with-a-certain-sum,"Array, Hash Table, Design"
EASY,1-bit and 2-bit Characters,65.2,0.4517849005012912,https://leetcode.com/problems/1-bit-and-2-bit-characters,Array
MEDIUM,Range Frequency Queries,65.2,0.41333289878925156,https://leetcode.com/problems/range-frequency-queries,"Array, Hash Table, Binary Search, Design, Segment Tree"
EASY,Find Numbers with Even Number of Digits,65.2,0.7773483305251951,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,"Array, Math"
EASY,Maximum Number of Words You Can Type,65.2,0.7434887400061583,https://leetcode.com/problems/maximum-number-of-words-you-can-type,"Hash Table, String"
MEDIUM,Exam Room,65.2,0.4362702546296296,https://leetcode.com/problems/exam-room,"Design, Heap (Priority Queue), Ordered Set"
EASY,Find the K-Beauty of a Number,65.2,0.6135401259350041,https://leetcode.com/problems/find-the-k-beauty-of-a-number,"Math, String, Sliding Window"
EASY,Subtract the Product and Sum of Digits of an Integer,65.2,0.8666740584807012,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer,Math
MEDIUM,3Sum With Multiplicity,65.2,0.45700581119593503,https://leetcode.com/problems/3sum-with-multiplicity,"Array, Hash Table, Two Pointers, Sorting, Counting"
MEDIUM,Subarray Sum Equals K,65.2,0.45002537058547065,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
