Difficulty,Title,Frequency,Acceptance Rate,Link
HARD,Design Excel Sum Formula,100.0,0.43964549246069934,https://leetcode.com/problems/design-excel-sum-formula
HARD,Median of Two Sorted Arrays,82.7,0.42480070839738526,https://leetcode.com/problems/median-of-two-sorted-arrays
MEDIUM,Evaluate Division,82.7,0.6258574597576929,https://leetcode.com/problems/evaluate-division
MEDIUM,Synonymous Sentences,63.0,0.5628610790151987,https://leetcode.com/problems/synonymous-sentences
MEDIUM,Employee Importance,63.0,0.6784040383377355,https://leetcode.com/problems/employee-importance
MEDIUM,Maximum Subarray,54.9,0.5156272254835372,https://leetcode.com/problems/maximum-subarray
HARD,Text Justification,54.9,0.4646346426890088,https://leetcode.com/problems/text-justification
HARD,Longest Duplicate Substring,54.9,0.3058928204202742,https://leetcode.com/problems/longest-duplicate-substring
EASY,Last Stone Weight,54.9,0.6574075178258721,https://leetcode.com/problems/last-stone-weight
HARD,Optimal Account Balancing,54.9,0.4967677201319869,https://leetcode.com/problems/optimal-account-balancing
HARD,Number of Visible People in a Queue,54.9,0.7043220613218996,https://leetcode.com/problems/number-of-visible-people-in-a-queue
MEDIUM,Accounts Merge,54.9,0.5860412769273042,https://leetcode.com/problems/accounts-merge
MEDIUM,Insert Delete GetRandom O(1),54.9,0.5482858097233609,https://leetcode.com/problems/insert-delete-getrandom-o1
HARD,LFU Cache,54.9,0.455214058992026,https://leetcode.com/problems/lfu-cache
