Difficulty,Title,Frequency,Acceptance Rate,Link
MEDIUM,Number of Orders in the Backlog,100.0,0.5095024689821155,https://leetcode.com/problems/number-of-orders-in-the-backlog
MEDIUM,Restore the Array From Adjacent Pairs,90.5,0.7475182330487796,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs
MEDIUM,Brightest Position on Street,86.7,0.6156953756231734,https://leetcode.com/problems/brightest-position-on-street
MEDIUM,Count Good Meals,86.7,0.30910119763910376,https://leetcode.com/problems/count-good-meals
MEDIUM,Ways to Split Array Into Three Subarrays,86.7,0.331764594479428,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays
MEDIUM,Check if There is a Valid Path in a Grid,86.7,0.48514203030995356,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid
MEDIUM,Capital Gain/Loss,86.7,0.8517591321435302,https://leetcode.com/problems/capital-gainloss
EASY,Count the Number of Consistent Strings,86.7,0.8813309776207303,https://leetcode.com/problems/count-the-number-of-consistent-strings
HARD,Text Justification,67.6,0.4625573039745261,https://leetcode.com/problems/text-justification
EASY,Best Time to Buy and Sell Stock,67.6,0.5449246288754733,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
MEDIUM,Rotate Image,53.3,0.7663574192390644,https://leetcode.com/problems/rotate-image
MEDIUM,Course Schedule II,53.3,0.5213310053732304,https://leetcode.com/problems/course-schedule-ii
