Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Orders in the Backlog,100.0,0.511223502861288,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
MEDIUM,Restore the Array From Adjacent Pairs,78.6,0.7472058794266497,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
EASY,Best Time to Buy and Sell Stock,78.6,0.5468398526295797,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Text Justification,72.5,0.468317126762962,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Rotate Image,63.9,0.7701665036969907,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Course Schedule II,63.9,0.5247567671309482,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Check if There is a Valid Path in a Grid,63.9,0.48665716642916074,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Count Good Meals,63.9,0.3104479717813051,https://leetcode.com/problems/count-good-meals,"Array, Hash Table"
MEDIUM,Ways to Split Array Into Three Subarrays,63.9,0.3325067545060883,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays,"Array, Two Pointers, Binary Search, Prefix Sum"
MEDIUM,Capital Gain/Loss,63.9,0.8515788784067087,https://leetcode.com/problems/capital-gainloss,Database
EASY,Count the Number of Consistent Strings,63.9,0.8818438521632802,https://leetcode.com/problems/count-the-number-of-consistent-strings,"Array, Hash Table, String, Bit Manipulation, Counting"
MEDIUM,Brightest Position on Street,63.9,0.6109895453440312,https://leetcode.com/problems/brightest-position-on-street,"Array, Sorting, Prefix Sum, Ordered Set"
