Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Substring with Concatenation of All Words,100.0,0.32997463649493386,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
HARD,Sliding Window Maximum,100.0,0.4760419873658764,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,LRU Cache,100.0,0.4521484931675215,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Simplify Path,87.5,0.4785475875201086,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Decode String,87.5,0.6115258855748797,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Asteroid Collision,87.5,0.4550061229796745,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Backspace String Compare,87.5,0.494817507336685,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Multiply Strings,87.5,0.42289515404693445,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
EASY,Maximum Product of Three Numbers,87.5,0.45311794031803265,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,Max Consecutive Ones III,87.5,0.659395885149928,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Shortest Path to Get All Keys,87.5,0.537030042053839,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
HARD,24 Game,87.5,0.5000170520428348,https://leetcode.com/problems/24-game,"Array, Math, Backtracking"
EASY,Valid Palindrome II,87.5,0.43027201289187367,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Top K Frequent Elements,87.5,0.6456597639542642,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Valid Parenthesis String,87.5,0.3890943290154454,https://leetcode.com/problems/valid-parenthesis-string,"String, Dynamic Programming, Stack, Greedy"
