Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points After Enemy Battles,100.0,0.32485822528649083,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Array, Greedy"
MEDIUM,Find Longest Special Substring That Occurs Thrice II,62.8,0.388541178808135,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Hash Table, String, Binary Search, Sliding Window, Counting"
MEDIUM,LRU Cache,61.1,0.4455050237382999,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Web Crawler Multithreaded,54.5,0.49665554234641995,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Scramble String,51.6,0.41733636357791737,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
HARD,Stamping the Grid,51.6,0.3274988119752891,https://leetcode.com/problems/stamping-the-grid,"Array, Greedy, Matrix, Prefix Sum"
MEDIUM,Design Add and Search Words Data Structure,48.0,0.4676817488720439,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
MEDIUM,Edit Distance,48.0,0.5828430746300437,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Insert Delete GetRandom O(1),48.0,0.5493255190446664,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Candy Crush,43.3,0.771837013701073,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,Random Pick with Weight,43.3,0.48276459594271787,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Count Lattice Points Inside a Circle,43.3,0.5463587715216379,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Array, Hash Table, Math, Geometry, Enumeration"
MEDIUM,Task Scheduler,36.8,0.6109270990512163,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Alien Dictionary,36.8,0.36460692140799317,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Cherry Pickup II,36.8,0.7185095916990685,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
EASY,Distribute Candies Among Children I,36.8,0.7485838993649003,https://leetcode.com/problems/distribute-candies-among-children-i,"Math, Combinatorics, Enumeration"
EASY,Existence of a Substring in a String and Its Reverse,36.8,0.6632732234589043,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,"Hash Table, String"
MEDIUM,Next Permutation,36.8,0.4242955827577545,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Alice and Bob Playing Flower Game,36.8,0.48137051721030816,https://leetcode.com/problems/alice-and-bob-playing-flower-game,Math
HARD,Find the Sum of Subsequence Powers,36.8,0.24525585656327706,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,"Array, Dynamic Programming, Sorting"
HARD,Distribute Candies Among Children III,36.8,0.4367674275138803,https://leetcode.com/problems/distribute-candies-among-children-iii,"Math, Combinatorics"
MEDIUM,Distribute Candies Among Children II,36.8,0.3547550652057859,https://leetcode.com/problems/distribute-candies-among-children-ii,"Math, Combinatorics, Enumeration"
MEDIUM,Design Bounded Blocking Queue,36.8,0.7289177280288505,https://leetcode.com/problems/design-bounded-blocking-queue,Concurrency
HARD,Design a Text Editor,36.8,0.47583247140188645,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Minimum Number of Refueling Stops,36.8,0.40424086827770755,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
HARD,Sliding Window Maximum,36.8,0.4729971530388412,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
HARD,Remove Invalid Parentheses,36.8,0.48955426922987966,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
