Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Points After Enemy Battles,100.0,0.32493833421701745,https://leetcode.com/problems/maximum-points-after-enemy-battles,"Array, Greedy"
HARD,Stamping the Grid,67.8,0.33176136799325207,https://leetcode.com/problems/stamping-the-grid,"Array, Greedy, Matrix, Prefix Sum"
MEDIUM,Alice and Bob Playing Flower Game,62.6,0.456670014227132,https://leetcode.com/problems/alice-and-bob-playing-flower-game,Math
MEDIUM,Random Pick with Weight,62.6,0.48216400632074313,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Count Lattice Points Inside a Circle,62.6,0.5512486304733839,https://leetcode.com/problems/count-lattice-points-inside-a-circle,"Array, Hash Table, Math, Geometry, Enumeration"
MEDIUM,Candy Crush,62.6,0.7732829323279046,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
MEDIUM,LRU Cache,62.6,0.4507748461279509,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Manhattan Distances of All Arrangements of Pieces,61.0,0.3291599353796446,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces,"Math, Combinatorics"
HARD,Find X Value of Array II,61.0,0.2709148264984227,https://leetcode.com/problems/find-x-value-of-array-ii,"Array, Math, Segment Tree"
EASY,Existence of a Substring in a String and Its Reverse,61.0,0.6561759249716581,https://leetcode.com/problems/existence-of-a-substring-in-a-string-and-its-reverse,"Hash Table, String"
HARD,Find the Sum of Subsequence Powers,61.0,0.23379151438105833,https://leetcode.com/problems/find-the-sum-of-subsequence-powers,"Array, Dynamic Programming, Sorting"
MEDIUM,Find Longest Special Substring That Occurs Thrice II,61.0,0.3835671992862358,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-ii,"Hash Table, String, Binary Search, Sliding Window, Counting"
MEDIUM,Find X Value of Array I,61.0,0.3248316263499781,https://leetcode.com/problems/find-x-value-of-array-i,"Array, Math, Dynamic Programming"
HARD,Distribute Candies Among Children III,61.0,0.5332842956969474,https://leetcode.com/problems/distribute-candies-among-children-iii,"Math, Combinatorics"
MEDIUM,Distribute Candies Among Children II,61.0,0.5560376100195672,https://leetcode.com/problems/distribute-candies-among-children-ii,"Math, Combinatorics, Enumeration"
EASY,Distribute Candies Among Children I,61.0,0.7450984584464733,https://leetcode.com/problems/distribute-candies-among-children-i,"Math, Combinatorics, Enumeration"
HARD,Maximize Subarray Sum After Removing All Occurrences of One Element,61.0,0.19590523144344016,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element,"Array, Dynamic Programming, Segment Tree"
MEDIUM,Insert Delete GetRandom O(1),52.3,0.5496109130685132,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Snapshot Array,49.2,0.3666383300841386,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
MEDIUM,Web Crawler Multithreaded,49.2,0.5006749881960192,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Scramble String,49.2,0.4210430121588641,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
MEDIUM,Next Permutation,45.5,0.42920731358314584,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Edit Distance,45.5,0.586871307141457,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Design Add and Search Words Data Structure,45.5,0.46975968896410897,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
HARD,Design a Text Editor,40.6,0.4702069708842507,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
MEDIUM,Web Crawler,40.6,0.6873584120575136,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
MEDIUM,Task Scheduler,40.6,0.6142513743151568,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Sliding Window Maximum,40.6,0.4753674251068045,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Building H2O,33.8,0.5753087252851069,https://leetcode.com/problems/building-h2o,Concurrency
MEDIUM,4Sum,33.8,0.38090761587642935,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,Prefix and Suffix Search,33.8,0.4040215822580457,https://leetcode.com/problems/prefix-and-suffix-search,"Array, Hash Table, String, Design, Trie"
HARD,Remove Invalid Parentheses,33.8,0.49179417871882103,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
HARD,Cherry Pickup II,33.8,0.7190551979915973,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
HARD,Minimum Number of Refueling Stops,33.8,0.40530168298481756,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Design Bounded Blocking Queue,33.8,0.7297918638816833,https://leetcode.com/problems/design-bounded-blocking-queue,Concurrency
MEDIUM,Design Memory Allocator,33.8,0.48458753119078435,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
