Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Subarray Product Less Than K,100.0,0.5245661312686627,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Closest Equal Element Queries,95.6,0.2957309657017757,https://leetcode.com/problems/closest-equal-element-queries,"Array, Hash Table, Binary Search"
HARD,Smallest Substring With Identical Characters II,95.6,0.4427357345204371,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii,"String, Binary Search"
HARD,Smallest Substring With Identical Characters I,95.6,0.19227501470492125,https://leetcode.com/problems/smallest-substring-with-identical-characters-i,"Array, Binary Search, Enumeration"
EASY,Split a String in Balanced Strings,95.6,0.8663931073272997,https://leetcode.com/problems/split-a-string-in-balanced-strings,"String, Greedy, Counting"
MEDIUM,String Compression,90.2,0.5738929950217527,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Maximum Number of Occurrences of a Substring,90.2,0.5299351032448377,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,"Hash Table, String, Sliding Window"
HARD,Distinct Subsequences,87.0,0.4953066698042332,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
HARD,LFU Cache,83.3,0.4595113369513143,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Minimum Window Substring,66.7,0.44765874153739704,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Course Schedule II,66.7,0.5273972436403376,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Binary Tree Maximum Path Sum,66.7,0.40956676610012466,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Minimum Number of Taps to Open to Water a Garden,57.0,0.5070082165297245,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Palindromic Substring,57.0,0.35378201800605863,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Least Number of Unique Integers after K Removals,57.0,0.6327883191220495,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
HARD,Reverse Nodes in k-Group,57.0,0.6218919797816689,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Backspace String Compare,57.0,0.49414820667724496,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Asteroid Collision,57.0,0.45150804243859577,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Decode String,57.0,0.6074708471841013,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Word Search,57.0,0.4471707100583806,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Validate Binary Search Tree,57.0,0.34032740799920724,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Max Consecutive Ones III,57.0,0.6534581410260571,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Longest Substring Without Repeating Characters,57.0,0.3641853325524446,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Path Sum III,57.0,0.4604355694433566,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Zigzag Conversion,57.0,0.5090893146920709,https://leetcode.com/problems/zigzag-conversion,String
