Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Search Suggestions System,100.0,0.6501836385374287,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Word Break,94.8,0.4802056800114102,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Merge Intervals,76.7,0.49027479803156365,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Minimum Number of Taps to Open to Water a Garden,76.7,0.5070532665805721,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
HARD,Design a Text Editor,74.8,0.47745002437835204,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Split Array Largest Sum,74.8,0.5761066172198279,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Beautiful Arrangement,70.3,0.6446577393329452,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
EASY,Valid Parentheses,67.6,0.42023505372656605,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,The kth Factor of n,67.6,0.6940523963329092,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
MEDIUM,LRU Cache,67.6,0.4471762265401564,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Subarray Product Less Than K,67.6,0.5255518653003509,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Longest Substring Without Repeating Characters,67.6,0.3654383025819108,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,64.7,0.7056681514005322,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Largest Number,64.7,0.4099581205970941,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Asteroid Collision,64.7,0.45207941780672234,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Capacity To Ship Packages Within D Days,61.2,0.7162243051864736,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Kth Largest Element in an Array,61.2,0.6774050953453038,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Number of Islands,61.2,0.6186244007667082,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Integer to Roman,61.2,0.6809697672831502,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Trapping Rain Water,61.2,0.645647178539794,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,LFU Cache,57.2,0.46074420022900386,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Meeting Rooms II,57.2,0.5200579926786013,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Task Scheduler,57.2,0.6111563566442735,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Binary Tree Maximum Path Sum,57.2,0.4102289847671262,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
EASY,Best Time to Buy and Sell Stock,57.2,0.5492508958641218,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Jump Game,57.2,0.3921420433866521,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,3Sum,57.2,0.36665410168782403,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Populating Next Right Pointers in Each Node,52.2,0.6506490100596697,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Degree of an Array,52.2,0.5719166802910646,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Reconstruct Original Digits from English,52.2,0.5151682618818051,https://leetcode.com/problems/reconstruct-original-digits-from-english,"Hash Table, Math, String"
MEDIUM,Container With Most Water,52.2,0.5740095197911833,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Palindromic Substring,52.2,0.354909566127792,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,IPO,52.2,0.5300784254037426,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Maximize Greatness of an Array,52.2,0.5798630918425556,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Maximal Square,52.2,0.484121711481168,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Course Schedule II,52.2,0.5291120803508438,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,52.2,0.2139682294283616,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
MEDIUM,Max Area of Island,52.2,0.7298591128323918,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Decode Ways,52.2,0.3624881968313921,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,"Pow(x, n)",52.2,0.3669484506152283,https://leetcode.com/problems/powx-n,"Math, Recursion"
HARD,Find Subarray With Bitwise OR Closest to K,52.2,0.29456873197588046,https://leetcode.com/problems/find-subarray-with-bitwise-or-closest-to-k,"Array, Binary Search, Bit Manipulation, Segment Tree"
MEDIUM,Daily Temperatures,45.8,0.6710096405096851,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Word Ladder,45.8,0.4218681694362876,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
