Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Word Break,94.6,0.4778798038670297,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Subarray Product Less Than K,87.5,0.5229951696254351,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Merge Intervals,83.7,0.48695103137067547,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Distinct Subsequences,80.7,0.49301047985460383,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
HARD,LFU Cache,77.3,0.45696398877821004,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,75.4,0.7021299328752906,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Split Array Largest Sum,75.4,0.5728402559774521,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Longest Substring Without Repeating Characters,73.4,0.36201635295329865,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Design a Text Editor,73.4,0.47092921689138756,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
HARD,Maximum Frequency Stack,73.4,0.6665860039700076,https://leetcode.com/problems/maximum-frequency-stack,"Hash Table, Stack, Design, Ordered Set"
EASY,Check Whether Two Strings are Almost Equivalent,71.2,0.6399850125224319,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,"Hash Table, String, Counting"
MEDIUM,Asteroid Collision,71.2,0.45042331906838945,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Number of Islands,71.2,0.6142363289336513,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,LRU Cache,71.2,0.4426506915430184,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Count the Number of Fair Pairs,71.2,0.48900178287291757,https://leetcode.com/problems/count-the-number-of-fair-pairs,"Array, Two Pointers, Binary Search, Sorting"
