Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Count Prefix and Suffix Pairs II,100.0,0.2762030613368572,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
MEDIUM,Mark Elements on Array by Performing Queries,100.0,0.4905854848035396,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,LRU Cache,84.0,0.44265239100892534,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximize Distance to Closest Person,72.2,0.4861947384837705,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
HARD,Burst Balloons,72.2,0.6053181916348715,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Rotting Oranges,72.2,0.5584687594504337,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Make Sum Divisible by P,62.9,0.39578674081173887,https://leetcode.com/problems/make-sum-divisible-by-p,"Array, Hash Table, Prefix Sum"
MEDIUM,Is Graph Bipartite?,62.9,0.5710835984514546,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
HARD,Word Ladder,62.9,0.4165566700196262,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Best Time to Buy and Sell Stock,62.9,0.5468398613171679,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,62.9,0.5490436667082793,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Rotate Array,62.9,0.42338133322303406,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
