Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Burst Balloons,100.0,0.6084787462640601,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Number of Islands,91.8,0.6186237087580037,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Mark Elements on Array by Performing Queries,84.0,0.4741262401560753,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
HARD,Count Prefix and Suffix Pairs II,84.0,0.26866528595156564,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
HARD,Trapping Rain Water,84.0,0.6456476491442199,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,LRU Cache,84.0,0.4471783273940698,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Best Time to Buy and Sell Stock,78.9,0.5492507280467247,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Is Graph Bipartite?,75.8,0.5735138315684042,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,68.1,0.2139682294283616,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
EASY,Two Sum,68.1,0.5533856942416949,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Palindrome Number,68.1,0.5886337900674947,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Minimum Cost of a Path With Special Roads,63.0,0.3991791175513677,https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,"Array, Graph, Heap (Priority Queue), Shortest Path"
MEDIUM,Maximize Distance to Closest Person,63.0,0.4878947817454161,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,3Sum,63.0,0.36665449599751804,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Make Sum Divisible by P,56.4,0.39500491074334787,https://leetcode.com/problems/make-sum-divisible-by-p,"Array, Hash Table, Prefix Sum"
HARD,Vertical Order Traversal of a Binary Tree,56.4,0.5069552762276736,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Rotting Oranges,56.4,0.5618144887002406,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Maximum Subarray,56.4,0.5186413520186267,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
HARD,Maximum Height by Stacking Cuboids ,56.4,0.5965487291260386,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,"Array, Dynamic Programming, Sorting"
MEDIUM,Add Two Numbers,56.4,0.45719849134838697,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Merge Intervals,56.4,0.4902756526214836,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Valid Parentheses,56.4,0.42023593106609075,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Implement Trie (Prefix Tree),56.4,0.6767998631662134,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Insert Delete GetRandom O(1),47.1,0.5496804711110049,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Number of Paths with Max Score,47.1,0.40771019083871957,https://leetcode.com/problems/number-of-paths-with-max-score,"Array, Dynamic Programming, Matrix"
EASY,Find the Width of Columns of a Grid,47.1,0.689714166492802,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
HARD,Minimum Number of Operations to Make String Sorted,47.1,0.49788762146176596,https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted,"Math, String, Combinatorics"
HARD,Design Graph With Shortest Path Calculator,47.1,0.7052031627067433,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,"Graph, Design, Heap (Priority Queue), Shortest Path"
MEDIUM,Largest 1-Bordered Square,47.1,0.5057393775963851,https://leetcode.com/problems/largest-1-bordered-square,"Array, Dynamic Programming, Matrix"
EASY,Sqrt(x),47.1,0.401557352645343,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Sort Colors,47.1,0.6663764881745802,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Robot Collisions,47.1,0.5608712930306492,https://leetcode.com/problems/robot-collisions,"Array, Stack, Sorting, Simulation"
MEDIUM,Stone Game IX,47.1,0.286550729703749,https://leetcode.com/problems/stone-game-ix,"Array, Math, Greedy, Counting, Game Theory"
MEDIUM,Remove K Digits,47.1,0.3458771281775748,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
MEDIUM,4Sum,47.1,0.37807174219182754,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Palindromic Substring,47.1,0.3549104591644373,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Rotate Image,47.1,0.7742726240110855,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Best Meeting Point,47.1,0.6121927565796074,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
MEDIUM,Word Search,47.1,0.4483880504806891,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,String to Integer (atoi),47.1,0.188923604604864,https://leetcode.com/problems/string-to-integer-atoi,String
HARD,N-Queens,47.1,0.7205644168401283,https://leetcode.com/problems/n-queens,"Array, Backtracking"
EASY,Two Sum IV - Input is a BST,47.1,0.6200803816029312,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,"Hash Table, Two Pointers, Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Number of Nodes in the Sub-Tree With the Same Label,47.1,0.5497609383171054,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting"
HARD,K-th Smallest in Lexicographical Order,47.1,0.41966560101208694,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie
EASY,Faulty Keyboard,47.1,0.8268622569140703,https://leetcode.com/problems/faulty-keyboard,"String, Simulation"
MEDIUM,Coin Change,47.1,0.46046375781490945,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Binary Search,47.1,0.592954673165193,https://leetcode.com/problems/binary-search,"Array, Binary Search"
MEDIUM,Longest Increasing Subsequence,47.1,0.5738414379891499,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
