Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Burst Balloons,100.0,0.6114122501660296,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Longest Increasing Subsequence,91.3,0.576769778411698,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Number of Islands,91.3,0.6219965021654336,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Partition Array Into Two Arrays to Minimize Sum Difference,89.5,0.2165939416935433,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
MEDIUM,LRU Cache,87.6,0.4507752195794247,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Minimum Cost of a Path With Special Roads,87.6,0.4017202619489786,https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,"Array, Graph, Heap (Priority Queue), Shortest Path"
HARD,Trapping Rain Water,85.5,0.6495017924045547,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Minimize Deviation in Array,85.5,0.5390054142089973,https://leetcode.com/problems/minimize-deviation-in-array,"Array, Greedy, Heap (Priority Queue), Ordered Set"
HARD,Vertical Order Traversal of a Binary Tree,85.5,0.5111503893606738,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
HARD,Maximum Height by Stacking Cuboids ,85.5,0.599323429446776,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,"Array, Dynamic Programming, Sorting"
HARD,Minimum Number of Operations to Make String Sorted,83.2,0.49922239502332816,https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted,"Math, String, Combinatorics"
HARD,Substring with Concatenation of All Words,83.2,0.32964036677411185,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
MEDIUM,Largest 1-Bordered Square,83.2,0.5090545750362536,https://leetcode.com/problems/largest-1-bordered-square,"Array, Dynamic Programming, Matrix"
HARD,Number of Paths with Max Score,83.2,0.40925213191457244,https://leetcode.com/problems/number-of-paths-with-max-score,"Array, Dynamic Programming, Matrix"
EASY,Maximum Product of Two Elements in an Array,83.2,0.8320843651104759,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
MEDIUM,Number of Nodes in the Sub-Tree With the Same Label,83.2,0.5502606888618132,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting"
EASY,Guess Number Higher or Lower,83.2,0.5567444778687263,https://leetcode.com/problems/guess-number-higher-or-lower,"Binary Search, Interactive"
HARD,Design Graph With Shortest Path Calculator,83.2,0.6406420885517728,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,"Graph, Design, Heap (Priority Queue), Shortest Path"
EASY,Find the Width of Columns of a Grid,83.2,0.6928094049440374,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
EASY,Faulty Keyboard,83.2,0.7852922532731271,https://leetcode.com/problems/faulty-keyboard,"String, Simulation"
MEDIUM,Mark Elements on Array by Performing Queries,83.2,0.47625205737126736,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Stone Game IX,83.2,0.2883656985736381,https://leetcode.com/problems/stone-game-ix,"Array, Math, Greedy, Counting, Game Theory"
HARD,Count Prefix and Suffix Pairs II,83.2,0.27109838008692216,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function"
EASY,Two Sum IV - Input is a BST,83.2,0.6213748380708539,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,"Hash Table, Two Pointers, Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree"
EASY,Best Time to Buy and Sell Stock,77.7,0.551573780439365,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Is Graph Bipartite?,74.5,0.5759085651034418,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
EASY,Two Sum,70.8,0.5568026929141193,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Maximum Subarray,66.3,0.5203999655606626,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,3Sum,66.3,0.3695622290901743,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Rotting Oranges,66.3,0.5647294569067834,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Possible Bipartition,66.3,0.5144952498564666,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Maximize Distance to Closest Person,61.0,0.489201006263359,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
EASY,Palindrome Number,61.0,0.5914911336381399,https://leetcode.com/problems/palindrome-number,Math
EASY,Valid Parentheses,54.0,0.4224538268570509,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Coin Change,54.0,0.463653774286263,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Implement Trie (Prefix Tree),54.0,0.6781136720731421,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Add Two Numbers,54.0,0.46089559081505327,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Make Sum Divisible by P,54.0,0.39477146921266226,https://leetcode.com/problems/make-sum-divisible-by-p,"Array, Hash Table, Prefix Sum"
MEDIUM,Merge Intervals,54.0,0.49292560291260157,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Word Search,54.0,0.4514564346072349,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,N-Queens,44.3,0.7258193344556144,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Jump Game II,44.3,0.41424747261609796,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Binary Tree Maximum Path Sum,44.3,0.41163595576460954,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Find Median from Data Stream,44.3,0.5319553320475564,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Meeting Rooms II,44.3,0.5211674185189422,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Word Ladder,44.3,0.4262848977609931,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,4Sum,44.3,0.3809076866442584,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
EASY,Longest Common Prefix,44.3,0.45372555102119544,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Container With Most Water,44.3,0.5768100906294313,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Longest Palindromic Substring,44.3,0.35744313272223044,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Merge k Sorted Lists,44.3,0.5660793871518532,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Subarray Product Less Than K,44.3,0.5278817094453667,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Reverse Integer,44.3,0.302243791532638,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Rotate Array,44.3,0.42910568431640833,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Remove K Digits,44.3,0.34811513151718837,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
EASY,Convert Sorted Array to Binary Search Tree,44.3,0.7398807245230159,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
EASY,Binary Search,44.3,0.594829352319879,https://leetcode.com/problems/binary-search,"Array, Binary Search"
MEDIUM,Kth Largest Element in an Array,44.3,0.679076564788078,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Insert Delete GetRandom O(1),44.3,0.5496106108032034,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,K-th Smallest in Lexicographical Order,44.3,0.4200721997100106,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie
EASY,Reverse Linked List,44.3,0.7910866598892623,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Linked List Cycle,44.3,0.5246153844100007,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Unique Binary Search Trees,44.3,0.6239750030352051,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
EASY,Sqrt(x),44.3,0.4031663265911252,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Largest Submatrix With Rearrangements,44.3,0.7517667670623438,https://leetcode.com/problems/largest-submatrix-with-rearrangements,"Array, Greedy, Sorting, Matrix"
HARD,Best Meeting Point,44.3,0.6125179073592614,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
HARD,First Missing Positive,44.3,0.4100761158724516,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,All Nodes Distance K in Binary Tree,44.3,0.6631705893884177,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,44.3,0.4273991369353681,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Nearest Exit from Entrance in Maze,44.3,0.4751305946935427,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze,"Array, Breadth-First Search, Matrix"
MEDIUM,Sort Colors,44.3,0.674537153516159,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
HARD,Robot Collisions,44.3,0.561059810967075,https://leetcode.com/problems/robot-collisions,"Array, Stack, Sorting, Simulation"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,44.3,0.6814194934699629,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Subsets,44.3,0.8076124596625376,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
