Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,String Compression,100.0,0.5738932975840855,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Move Zeroes,91.5,0.6257722863972811,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,LRU Cache,91.5,0.44550551769176105,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,79.5,0.3641857346010369,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Sliding Window Maximum,79.5,0.4729973107402898,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Number of Distinct Islands,79.5,0.6200326619488297,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
HARD,Median of Two Sorted Arrays,79.5,0.4306425453703063,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,4Sum,79.5,0.3768239116373764,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
HARD,First Missing Positive,79.5,0.4070576470854995,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Binary Tree Right Side View,79.5,0.658847273183525,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Amount of Time for Binary Tree to Be Infected,79.5,0.6322491024446939,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Time Needed to Rearrange a Binary String,79.5,0.5149314520025956,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
MEDIUM,"Pow(x, n)",79.5,0.3656962576108057,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Two Sum,79.5,0.5518541743980457,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,LFU Cache,79.5,0.45951231311985774,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Minimum One Bit Operations to Make Integers Zero,79.5,0.7349476978832057,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming, Bit Manipulation, Memoization"
MEDIUM,Kth Largest Element in an Array,79.5,0.676705271729316,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Next Permutation,79.5,0.42429469564278177,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
