Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Subarray Product Less Than K,100.0,0.5255523271989709,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Valid Parentheses,98.0,0.4202357300810982,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Group Anagrams,98.0,0.7056676548159292,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Trapping Rain Water,95.7,0.645647772319481,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Generate Parentheses,87.6,0.7675045718421544,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Longest Substring Without Repeating Characters,84.2,0.3654389447522612,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,80.2,0.44717787125436975,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Best Time to Buy and Sell Stock,75.6,0.5492506501025043,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Design HashMap,75.6,0.6570214536637671,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Zigzag Conversion,75.6,0.510726482426252,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Maximal Square,75.6,0.48412090664804386,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Merge Intervals,75.6,0.49027491320879885,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Daily Temperatures,69.9,0.671009458863768,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Move Zeroes,69.9,0.6264096727568569,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Number of Islands,69.9,0.6186234879158924,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,69.9,0.5533853212648807,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Validate Binary Search Tree,69.9,0.341179298501518,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Search in Rotated Sorted Array,69.9,0.42507798429287297,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Median of Two Sorted Arrays,69.9,0.4323429279716802,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Sum Root to Leaf Numbers,62.5,0.6814457611910286,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Validate IP Address,62.5,0.2772515119293386,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Top K Frequent Words,62.5,0.5904271630106127,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Maximum Product Subarray,62.5,0.34670069052009617,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Longest Consecutive Sequence,62.5,0.4712660547203226,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Meeting Rooms II,62.5,0.5200587004980035,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Pacific Atlantic Water Flow,62.5,0.5711306074175031,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Vowels of All Substrings,62.5,0.5455175426703425,https://leetcode.com/problems/vowels-of-all-substrings,"Math, String, Dynamic Programming, Combinatorics"
MEDIUM,Number of Distinct Substrings in a String,62.5,0.6438892846239951,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
