Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Peaks in Array,100.0,0.25655266001558064,https://leetcode.com/problems/peaks-in-array,"Array, Binary Indexed Tree, Segment Tree"
MEDIUM,Minimized Maximum of Products Distributed to Any Store,100.0,0.625309206343313,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store,"Array, Binary Search, Greedy"
MEDIUM,Number of Islands,91.2,0.6206996590231741,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Parentheses,77.4,0.42160270655136345,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Merge Intervals,77.4,0.4919416290009685,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Merge Two Sorted Lists,70.4,0.6665363275126307,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Best Time to Buy and Sell Stock,70.4,0.5506630074143123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Letter Combinations of a Phone Number,70.4,0.6359965839971775,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Reverse Linked List,70.4,0.7900524898777768,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
HARD,LFU Cache,70.4,0.46279971412709076,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Contains Duplicate,70.4,0.6307927833272734,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
HARD,The Skyline Problem,60.4,0.43847716280534516,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
MEDIUM,Group Anagrams,60.4,0.7072452963783731,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Remove Duplicates from Sorted Array,60.4,0.6004985513840011,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Valid Anagram,60.4,0.6647156155505972,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Angle Between Hands of a Clock,60.4,0.641458874645306,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
EASY,Maximum Product of Three Numbers,60.4,0.4526679239873491,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
MEDIUM,Rotate Array,60.4,0.42806550163448503,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Palindrome Linked List,60.4,0.5559056911183705,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
EASY,Two Sum,60.4,0.5554739848966519,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Rotate List,60.4,0.3976370642613889,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,3Sum,60.4,0.3684085545329919,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Longest Subarray With Maximum Bitwise AND,60.4,0.6179460217315107,https://leetcode.com/problems/longest-subarray-with-maximum-bitwise-and,"Array, Bit Manipulation, Brainteaser"
MEDIUM,Largest Number,60.4,0.4111652360031932,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Top K Frequent Elements,60.4,0.6438887145884397,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Jump Game II,60.4,0.4135662880244377,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,First Missing Positive,60.4,0.4093511759364199,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Minimum Add to Make Parentheses Valid,60.4,0.7470724084385849,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy"
