Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Window Substring,100.0,0.4490228065499638,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Word Search II,95.4,0.37117640464520796,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Happy Number,87.4,0.5773598624835025,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Design In-Memory File System,84.8,0.4810280283349201,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,Parallel Courses III,74.5,0.6676228503884797,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
EASY,Calculate Amount Paid in Taxes,74.5,0.6699194388601112,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
MEDIUM,Course Schedule II,69.6,0.5291122452036873,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,String Transformation,63.3,0.2882438467130543,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
MEDIUM,Throne Inheritance,63.3,0.6661743912018853,https://leetcode.com/problems/throne-inheritance,"Hash Table, Tree, Depth-First Search, Design"
HARD,N-Queens II,54.5,0.7627739674609234,https://leetcode.com/problems/n-queens-ii,Backtracking
HARD,Trapping Rain Water,54.5,0.645647772319481,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Path With Minimum Effort,54.5,0.6098780777059266,https://leetcode.com/problems/path-with-minimum-effort,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
MEDIUM,Course Schedule,54.5,0.48714251387700647,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Find All Anagrams in a String,54.5,0.51954360649451,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Number of Events That Can Be Attended,54.5,0.32818051251039376,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
HARD,Painting the Walls,54.5,0.49767888357165374,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
MEDIUM,Task Scheduler,54.5,0.6111575924720853,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Longest Univalue Path,54.5,0.42393374758728114,https://leetcode.com/problems/longest-univalue-path,"Tree, Depth-First Search, Binary Tree"
HARD,Basic Calculator,54.5,0.45153484967451113,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Implement Trie (Prefix Tree),54.5,0.6767996925461445,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
EASY,Count Vowel Substrings of a String,54.5,0.7070222681274362,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,Regular Expression Matching,54.5,0.2906633628293123,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Most Profitable Path in a Tree,54.5,0.6779744412391147,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Remove Sub-Folders from the Filesystem,54.5,0.7570508344470084,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
