Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Window Substring,100.0,0.4490228065499638,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Word Search II,95.2,0.37117640464520796,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,String Transformation,89.2,0.2882438467130543,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
EASY,Happy Number,89.2,0.5773598624835025,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Design In-Memory File System,84.1,0.4810280283349201,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,Painting the Walls,81.1,0.49767888357165374,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
HARD,Trapping Rain Water,77.6,0.645647772319481,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Number of Ways to Form a Target String Given a Dictionary,77.6,0.5718403856791434,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
EASY,Calculate Amount Paid in Taxes,77.6,0.6699194388601112,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
HARD,Maximum Profit in Job Scheduling,77.6,0.5433647133537147,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
EASY,Count Vowel Substrings of a String,73.4,0.7070222681274362,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,Parallel Courses III,73.4,0.6676228503884797,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
MEDIUM,Course Schedule II,68.3,0.5291122452036873,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Course Schedule,68.3,0.48714251387700647,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Throne Inheritance,68.3,0.6661743912018853,https://leetcode.com/problems/throne-inheritance,"Hash Table, Tree, Depth-First Search, Design"
MEDIUM,Task Scheduler,61.7,0.6111575924720853,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Basic Calculator,61.7,0.45153484967451113,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Find All Anagrams in a String,61.7,0.51954360649451,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
HARD,Regular Expression Matching,61.7,0.2906633628293123,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Copy List with Random Pointer,52.5,0.5987541627329855,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
MEDIUM,Longest Univalue Path,52.5,0.42393374758728114,https://leetcode.com/problems/longest-univalue-path,"Tree, Depth-First Search, Binary Tree"
HARD,Integer to English Words,52.5,0.34274242670672167,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Most Profitable Path in a Tree,52.5,0.6779744412391147,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Time Based Key-Value Store,52.5,0.493961976523879,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
EASY,Valid Word Abbreviation,52.5,0.36711265156032596,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,52.5,0.6636941667347798,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Implement Trie (Prefix Tree),52.5,0.6767996925461445,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Maximum Number of Upgradable Servers,52.5,0.4025881935826981,https://leetcode.com/problems/maximum-number-of-upgradable-servers,"Array, Math, Binary Search"
HARD,N-Queens II,52.5,0.7627739674609234,https://leetcode.com/problems/n-queens-ii,Backtracking
MEDIUM,Maximum Number of Events That Can Be Attended,52.5,0.32818051251039376,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Path With Minimum Effort,52.5,0.6098780777059266,https://leetcode.com/problems/path-with-minimum-effort,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
HARD,Find Median from Data Stream,52.5,0.5311634832502482,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Merge k Sorted Lists,52.5,0.5615777883995619,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Remove Sub-Folders from the Filesystem,52.5,0.7570508344470084,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
