Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Design In-Memory File System,100.0,0.4810280283349201,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
HARD,String Transformation,92.4,0.2882438467130543,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
EASY,Happy Number,92.4,0.5773598624835025,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Minimum Window Substring,92.4,0.4490228065499638,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Word Search II,91.1,0.37117640464520796,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Find All Anagrams in a String,86.6,0.51954360649451,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Number of Upgradable Servers,84.9,0.4025881935826981,https://leetcode.com/problems/maximum-number-of-upgradable-servers,"Array, Math, Binary Search"
HARD,Maximum Profit in Job Scheduling,83.1,0.5433647133537147,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Painting the Walls,83.1,0.49767888357165374,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
HARD,Number of Ways to Form a Target String Given a Dictionary,83.1,0.5718403856791434,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
MEDIUM,Find the Maximum Length of a Good Subsequence I,81.1,0.3122294455066922,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i,"Array, Hash Table, Dynamic Programming"
HARD,Trapping Rain Water,81.1,0.645647772319481,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Minimum Array Length After Pair Removals,81.1,0.2457781732229682,https://leetcode.com/problems/minimum-array-length-after-pair-removals,"Array, Hash Table, Two Pointers, Binary Search, Greedy, Counting"
HARD,Parallel Courses III,78.9,0.6676228503884797,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
MEDIUM,Course Schedule II,78.9,0.5291122452036873,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Calculate Amount Paid in Taxes,78.9,0.6699194388601112,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
HARD,Find the Maximum Length of a Good Subsequence II,78.9,0.2365488602754459,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii,"Array, Hash Table, Dynamic Programming"
HARD,Reverse Nodes in k-Group,73.7,0.624020053975285,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
HARD,Basic Calculator,70.7,0.45153484967451113,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Regular Expression Matching,70.7,0.2906633628293123,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Populating Next Right Pointers in Each Node II,67.1,0.5513009194874634,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Count Vowel Substrings of a String,67.1,0.7070222681274362,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
MEDIUM,Encode and Decode Strings,67.1,0.4921151952902275,https://leetcode.com/problems/encode-and-decode-strings,"Array, String, Design"
MEDIUM,Boundary of Binary Tree,67.1,0.46929193258799917,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Populating Next Right Pointers in Each Node,62.9,0.6506503545639177,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Time Based Key-Value Store,62.9,0.493961976523879,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Course Schedule,62.9,0.48714251387700647,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Swap Nodes in Pairs,57.8,0.6675193003550688,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Throne Inheritance,57.8,0.6661743912018853,https://leetcode.com/problems/throne-inheritance,"Hash Table, Tree, Depth-First Search, Design"
EASY,Design HashMap,57.8,0.6570214536637671,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Design Hit Counter,57.8,0.6907138240466564,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
HARD,Patching Array,57.8,0.5339366082543331,https://leetcode.com/problems/patching-array,"Array, Greedy"
HARD,Integer to English Words,57.8,0.34274242670672167,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Task Scheduler,57.8,0.6111575924720853,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Graph Valid Tree,57.8,0.491652316823599,https://leetcode.com/problems/graph-valid-tree,"Depth-First Search, Breadth-First Search, Union Find, Graph"
HARD,Sliding Window Median,57.8,0.38568246606630685,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
MEDIUM,Container With Most Water,51.2,0.5740094580225871,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,N-Queens II,51.2,0.7627739674609234,https://leetcode.com/problems/n-queens-ii,Backtracking
MEDIUM,Min Stack,51.2,0.5611010490973315,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Copy List with Random Pointer,51.2,0.5987541627329855,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
HARD,Find Median from Data Stream,51.2,0.5311634832502482,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,Merge k Sorted Lists,51.2,0.5615778898308909,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Implement Trie (Prefix Tree),51.2,0.6767998631662134,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Random Pick with Weight,51.2,0.48327182532592206,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
