Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,100.0,0.8210578614494233,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Longest Mountain in Array,86.1,0.4095799841026694,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
HARD,Minimum Window Substring,86.1,0.4490243653722194,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Asteroid Collision,86.1,0.45208256822258575,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Two Sum,78.9,0.5533862975120258,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Maximum Number of Non-overlapping Palindrome Substrings,78.9,0.4127867782972709,https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings,"Two Pointers, String, Dynamic Programming, Greedy"
MEDIUM,Insert Delete GetRandom O(1),78.9,0.5496801165818581,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Degree of an Array,78.9,0.5719183681206328,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Number of Islands,78.9,0.6186223858147536,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Roman to Integer,68.9,0.6441570217489714,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Flatten a Multilevel Doubly Linked List,68.9,0.6106839349719655,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
MEDIUM,Subarray Product Less Than K,68.9,0.5255525660580748,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Meeting Rooms II,68.9,0.5200564748907215,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,LRU Cache,68.9,0.4471812193071764,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,68.9,0.5615804859901647,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Palindromic Substrings,68.9,0.7141036658366936,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find the Winner of the Circular Game,68.9,0.8200512971831945,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
