Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Meeting Rooms II,100.0,0.5214182529017943,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Group Anagrams,91.4,0.709288828623018,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Number of Distinct Islands,91.4,0.6225544075621016,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
MEDIUM,Longest Increasing Subsequence,91.4,0.5780838894511294,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
HARD,Find Median from Data Stream,91.4,0.5327808081897567,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Find First and Last Position of Element in Sorted Array,91.4,0.46828845687354886,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Decode String,79.4,0.6115259200424883,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Koko Eating Bananas,79.4,0.49067140967725015,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,LRU Cache,79.4,0.4521475035659106,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Design Browser History,79.4,0.7774686768883133,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
HARD,Trapping Rain Water,79.4,0.6510205336424274,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Minimum Height Trees,79.4,0.420144691524227,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Find All Anagrams in a String,79.4,0.5220068246888969,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,79.4,0.4232286113783459,https://leetcode.com/problems/valid-parentheses,"String, Stack"
