Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximize Area of Square Hole in Grid,100.0,0.37355116780243464,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,"Array, Sorting"
EASY,Minimum Value to Get Positive Step by Step Sum,97.7,0.6488906594981811,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
EASY,Valid Parentheses,75.6,0.41739438791493105,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Sort Colors,75.6,0.6618205781853077,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Merge Sorted Array,75.6,0.520979597548126,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Next Greater Element I,75.6,0.7381261065558333,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Fair Candy Swap,68.6,0.627596472529894,https://leetcode.com/problems/fair-candy-swap,"Array, Hash Table, Binary Search, Sorting"
EASY,Happy Number,68.6,0.5746137760215781,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Maximum Profit in Job Scheduling,68.6,0.5434881976143041,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Daily Temperatures,68.6,0.6687772844895019,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Integer to Roman,68.6,0.6765165039175172,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Subarray Sum Equals K,58.9,0.4479067032020529,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Letter Combinations of a Phone Number,58.9,0.6290672155326197,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Immediate Food Delivery II,58.9,0.5359700293069877,https://leetcode.com/problems/immediate-food-delivery-ii,Database
MEDIUM,Count Good Meals,58.9,0.3104479717813051,https://leetcode.com/problems/count-good-meals,"Array, Hash Table"
HARD,Median of Two Sorted Arrays,58.9,0.4274723388739662,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,58.9,0.6596433754289686,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
HARD,First Missing Positive,58.9,0.4052998395463562,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,LRU Cache,58.9,0.4426537788851125,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Merge Two Sorted Lists,58.9,0.6615288193387941,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Longest Consecutive Sequence,58.9,0.4725520304470477,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Majority Element,58.9,0.654589388232959,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Maximum Length of Pair Chain,58.9,0.6053125569527975,https://leetcode.com/problems/maximum-length-of-pair-chain,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Subsets II,58.9,0.5878266575673263,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
EASY,Climbing Stairs,58.9,0.5331668335587041,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
HARD,Trapping Rain Water,58.9,0.6412329030370568,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximum Score From Removing Substrings,58.9,0.6279905766595977,https://leetcode.com/problems/maximum-score-from-removing-substrings,"String, Stack, Greedy"
