Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.36418573932870774,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Minimum Changes To Make Alternating Binary String,91.6,0.6370051438989451,https://leetcode.com/problems/minimum-changes-to-make-alternating-binary-string,String
MEDIUM,Letter Combinations of a Phone Number,91.6,0.6319914381812121,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Find Followers Count,91.6,0.6948335066274061,https://leetcode.com/problems/find-followers-count,Database
MEDIUM,Merge Intervals,86.0,0.48881507335943264,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Number of Islands,82.7,0.6170176396279056,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Basic Calculator II,82.7,0.45337842355282054,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Valid Parentheses,78.9,0.41916980646504487,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,LRU Cache,78.9,0.44550551769176105,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Top K Frequent Elements,78.9,0.6415069249590982,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Container With Most Water,78.9,0.5726804784834433,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Design Circular Queue,78.9,0.5240189105927853,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
HARD,Reverse Nodes in k-Group,74.3,0.6218902665869747,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,3Sum,74.3,0.3653139936990469,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Find Winner on a Tic Tac Toe Game,74.3,0.5410875690708823,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
MEDIUM,Building H2O,68.7,0.5744002280603291,https://leetcode.com/problems/building-h2o,Concurrency
MEDIUM,Subarray Sum Equals K,68.7,0.4500236356096835,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Decode the Message,68.7,0.8518942825171846,https://leetcode.com/problems/decode-the-message,"Hash Table, String"
