Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Trapping Rain Water,100.0,0.6481176299017313,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Number of Distinct Islands,100.0,0.6214566684338327,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
HARD,N-Queens,97.9,0.7236817707860242,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Snapshot Array,95.7,0.36676722694550806,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
MEDIUM,Longest Happy String,95.7,0.6545255813649067,https://leetcode.com/problems/longest-happy-string,"String, Greedy, Heap (Priority Queue)"
HARD,Lexicographically Smallest Generated String,93.2,0.29360730593607304,https://leetcode.com/problems/lexicographically-smallest-generated-string,"String, Greedy, String Matching"
MEDIUM,Maximum Swap,93.2,0.5180059671749526,https://leetcode.com/problems/maximum-swap,"Math, Greedy"
MEDIUM,LRU Cache,87.5,0.449367816799087,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Increasing Subsequence,84.0,0.575524076422147,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Course Schedule II,80.0,0.5312872731612823,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Basic Calculator III,80.0,0.523099727047595,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Pacific Atlantic Water Flow,75.3,0.5728115201080738,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Binary Tree Right Side View,75.3,0.6657251460272892,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Text Justification,69.6,0.4781177091731534,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,3Sum,69.6,0.3684030806040886,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Basic Calculator II,69.6,0.4562783538426244,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,House Robber,69.6,0.5218919653789934,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Regular Expression Matching,69.6,0.2917977712058838,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Shortest Bridge,69.6,0.5851864725064386,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Course Schedule,69.6,0.4894560406207901,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Number of Islands,69.6,0.6206898121773643,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Decode String,69.6,0.6097514659213606,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Coin Change,69.6,0.46233610741627024,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Kth Largest Element in an Array,62.2,0.6783370013204754,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
HARD,Shortest Path in a Grid with Obstacles Elimination,62.2,0.4553177883846804,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Add Bold Tag in String,62.2,0.509185244660362,https://leetcode.com/problems/add-bold-tag-in-string,"Array, Hash Table, String, Trie, String Matching"
MEDIUM,Max Area of Island,62.2,0.7306267722014439,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Merge Intervals,62.2,0.49193339333454633,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Alien Dictionary,62.2,0.36595318026048657,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Valid Parentheses,62.2,0.4215997533811404,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Meeting Rooms II,62.2,0.5207959350716146,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Minimum Window Substring,62.2,0.450984778725412,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Design Add and Search Words Data Structure,62.2,0.4687548854498047,https://leetcode.com/problems/design-add-and-search-words-data-structure,"String, Depth-First Search, Design, Trie"
HARD,Basic Calculator,62.2,0.45352285659469904,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Insert Delete GetRandom O(1),62.2,0.5492711320938263,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Search a 2D Matrix,51.9,0.5208703751312137,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Minimum Cost For Tickets,51.9,0.6740884227209192,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,51.9,0.6657191318954605,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
EASY,Sqrt(x),51.9,0.4026326538407952,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Two Sum,51.9,0.5554647063248254,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Sparse Matrix Multiplication,51.9,0.6887479345099768,https://leetcode.com/problems/sparse-matrix-multiplication,"Array, Hash Table, Matrix"
HARD,Minimize Malware Spread,51.9,0.42342210871944547,https://leetcode.com/problems/minimize-malware-spread,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Random Pick with Weight,51.9,0.4815753456159076,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
HARD,Making A Large Island,51.9,0.5455438907814463,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Longest Common Prefix,51.9,0.45269032689252753,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Generate Parentheses,51.9,0.7691554440884587,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
HARD,Find Median from Data Stream,51.9,0.5311629390440861,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Longest Substring Without Repeating Characters,51.9,0.367160620250853,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Remove Nth Node From End of List,51.9,0.486358705288138,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
HARD,Human Traffic of Stadium,51.9,0.49693490881981434,https://leetcode.com/problems/human-traffic-of-stadium,Database
MEDIUM,Subarray Sum Equals K,51.9,0.4528264772972974,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,Word Search II,51.9,0.37199882008145246,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Longest Increasing Path in a Matrix,51.9,0.5517859581115996,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
EASY,Convert Sorted Array to Binary Search Tree,51.9,0.739020146455338,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
HARD,Meeting Rooms III,51.9,0.4391078730579801,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Edit Distance,51.9,0.585722001306939,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Put Marbles in Bags,51.9,0.7249619012520294,https://leetcode.com/problems/put-marbles-in-bags,"Array, Greedy, Sorting, Heap (Priority Queue)"
HARD,Word Ladder,51.9,0.42456155087269837,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Bus Routes,51.9,0.46972305199736725,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Kth Smallest Element in a BST,51.9,0.7509503540662678,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Sliding Window Maximum,51.9,0.47465416400966937,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
