Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Course Schedule II,100.0,0.5273972436403376,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Number of Islands,99.1,0.6170169122196616,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,LRU Cache,93.8,0.44550532222749,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,89.6,0.48881472497137407,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,84.5,0.36418528620152396,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Merge k Sorted Lists,78.9,0.5594069462800462,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Search in Rotated Sorted Array,75.6,0.4240111764031683,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Word Search,75.6,0.4471708096848039,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Restore IP Addresses,74.3,0.5248424585321884,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Longest Palindromic Substring,74.3,0.35378205187111555,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Minimum Window Substring,73.0,0.44765874153739704,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Course Schedule,73.0,0.4857201773378699,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Kth Largest Element in an Array,71.6,0.6767051547937509,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Combination Sum,70.1,0.7404327389034804,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Word Ladder,68.5,0.41982231637014295,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
HARD,Trapping Rain Water,66.8,0.6439791670320709,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,3Sum,66.8,0.3653142360589726,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Binary Tree Maximum Path Sum,66.8,0.40956687717745227,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
EASY,Best Time to Buy and Sell Stock,65.0,0.5482913233922247,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Valid Parentheses,65.0,0.4191691762245291,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Sort Colors,65.0,0.6647644866779834,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Combination Sum II,63.0,0.5727832987440025,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Decode Ways,60.8,0.36168055370738394,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Maximum Subarray,60.8,0.5179052883796815,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Edit Distance,60.8,0.5828412950207071,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
EASY,Sqrt(x),60.8,0.4008055662036574,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
MEDIUM,Best Time to Buy and Sell Stock II,60.8,0.689550283334784,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Two Sum,60.8,0.5518535967928885,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Generate Parentheses,60.8,0.7661919580007092,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,House Robber,58.4,0.5202375441726034,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Text Justification,58.4,0.47271961104467125,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Permutations,58.4,0.8021909616814337,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Find Peak Element,58.4,0.4636553075021012,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Find All Possible Recipes from Given Supplies,55.7,0.5373704872041192,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph, Topological Sort"
MEDIUM,Find First and Last Position of Element in Sorted Array,55.7,0.4624174627627772,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Reverse Nodes in k-Group,55.7,0.6218919797816689,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,55.7,0.6623369052797534,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
EASY,Reverse Linked List,55.7,0.7873609934995394,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Validate Binary Search Tree,55.7,0.34032732649098774,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Container With Most Water,55.7,0.572680547042065,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Merge Sorted Array,55.7,0.5235337896288736,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Word Break,55.7,0.47935236181166585,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Subsets,55.7,0.8034782005653027,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
HARD,N-Queens,55.7,0.7182422374735282,https://leetcode.com/problems/n-queens,"Array, Backtracking"
HARD,Median of Two Sorted Arrays,55.7,0.43064207290224205,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Spiral Matrix,55.7,0.5309626776597093,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Reverse Words in a String,52.7,0.5037793818113911,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Surrounded Regions,52.7,0.42142562071432155,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Jump Game,52.7,0.39153746193998246,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,52.7,0.5635602963213548,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
MEDIUM,Reverse Linked List II,52.7,0.4917589160882648,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Add Two Numbers,49.2,0.4555575152458236,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Next Permutation,49.2,0.42429387566306803,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Unique Binary Search Trees,49.2,0.6217451702255654,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Permutations II,49.2,0.6108882861183101,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
MEDIUM,Binary Tree Level Order Traversal,49.2,0.6993448297175351,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Missing Ranges,49.2,0.3501448959878097,https://leetcode.com/problems/missing-ranges,Array
MEDIUM,Binary Tree Right Side View,49.2,0.6588462291750823,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Integer to Roman,49.2,0.679851980346846,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Group Anagrams,49.2,0.7043761833851506,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Sort List,49.2,0.6104259669797742,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
MEDIUM,Fraction to Recurring Decimal,45.0,0.2593348279308274,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
MEDIUM,Maximum Product Subarray,45.0,0.3458339708276696,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Compare Version Numbers,45.0,0.4201890152033968,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
HARD,Parallel Courses III,45.0,0.6684763071595736,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
MEDIUM,"Pow(x, n)",45.0,0.3656962950815309,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Multiply Strings,45.0,0.41906037904824844,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
HARD,Distinct Subsequences,45.0,0.4953066698042332,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,Path Sum II,45.0,0.6011374460693674,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Insert Interval,45.0,0.43010219061470173,https://leetcode.com/problems/insert-interval,Array
HARD,Longest Valid Parentheses,45.0,0.35770958108423323,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Minimum Size Subarray Sum,45.0,0.48837463952027227,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Regular Expression Matching,45.0,0.2900600911073755,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Jump Game II,40.0,0.411834509986358,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
EASY,Find Target Indices After Sorting Array,40.0,0.7709062135598868,https://leetcode.com/problems/find-target-indices-after-sorting-array,"Array, Binary Search, Sorting"
EASY,Climbing Stairs,40.0,0.5337001733835606,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Symmetric Tree,40.0,0.5873595278257929,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Longest Common Prefix,40.0,0.4498038200501517,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Reorder List,40.0,0.6170739444842859,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Rotate Array,33.7,0.42538125266723226,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Count Primes,33.7,0.34485697612861377,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
MEDIUM,Implement Trie (Prefix Tree),33.7,0.675406938125787,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,House Robber II,33.7,0.431910003277021,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,Largest Number,33.7,0.40922408747558153,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
EASY,Happy Number,33.7,0.5763518758085382,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Merge Two Sorted Lists,33.7,0.6636949795740322,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
