Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,92.9,0.4455052234366002,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Merge Intervals,91.0,0.48881472497137407,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,86.2,0.36418528620152396,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Word Search,79.4,0.4471708096848039,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Merge k Sorted Lists,77.7,0.5594069462800462,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Search in Rotated Sorted Array,76.8,0.4240111764031683,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Minimum Window Substring,75.9,0.44765874153739704,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,74.9,0.35378205187111555,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
HARD,Trapping Rain Water,73.9,0.6439791670320709,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Combination Sum,71.8,0.7404327389034804,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Restore IP Addresses,70.6,0.5248424585321884,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
HARD,Word Ladder,70.6,0.41982231637014295,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,3Sum,69.4,0.3653142360589726,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Sort Colors,68.1,0.6647644866779834,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Best Time to Buy and Sell Stock,66.8,0.5482913233922247,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Binary Tree Maximum Path Sum,66.8,0.40956687717745227,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
EASY,Valid Parentheses,65.3,0.4191691762245291,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Sqrt(x),65.3,0.4008055662036574,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
HARD,Text Justification,63.8,0.47271961104467125,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Word Break II,63.8,0.5303694495412177,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Two Sum,63.8,0.5518535783990415,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Combination Sum II,62.1,0.5727832987440025,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Word Break,62.1,0.47935236181166585,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Generate Parentheses,62.1,0.7661919580007092,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Edit Distance,62.1,0.5828412950207071,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,N-Queens,62.1,0.7182422374735282,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Spiral Matrix,60.3,0.5309626776597093,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Find Peak Element,60.3,0.4636553075021012,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Maximum Subarray,60.3,0.5179052883796815,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find First and Last Position of Element in Sorted Array,58.4,0.4624174627627772,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Decode Ways,58.4,0.36168055370738394,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Permutations,58.4,0.8021909616814337,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Best Time to Buy and Sell Stock II,56.2,0.689550283334784,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Subsets,56.2,0.803478266724346,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
HARD,Reverse Nodes in k-Group,56.2,0.6218919797816689,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Find All Possible Recipes from Given Supplies,56.2,0.537371279658031,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph, Topological Sort"
MEDIUM,Group Anagrams,56.2,0.7043761833851506,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Regular Expression Matching,53.9,0.2900600911073755,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Container With Most Water,53.9,0.572680547042065,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,53.9,0.6623370543974887,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
EASY,Merge Sorted Array,53.9,0.5235337896288736,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Jump Game,51.2,0.39153746193998246,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,51.2,0.5635602963213548,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
HARD,Median of Two Sorted Arrays,51.2,0.43064207290224205,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Reorder List,51.2,0.6170739444842859,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Longest Consecutive Sequence,51.2,0.4715775962385206,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Next Permutation,51.2,0.42429387566306803,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Validate Binary Search Tree,51.2,0.34032740799920724,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Unique Binary Search Trees,51.2,0.6217451702255654,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Compare Version Numbers,48.3,0.4201890152033968,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
MEDIUM,Find Minimum in Rotated Sorted Array,48.3,0.5222726273777772,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Reverse Words in a String,48.3,0.5037793818113911,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Sort List,48.3,0.6104259669797742,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
MEDIUM,Reverse Linked List II,48.3,0.4917589160882648,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Surrounded Regions,48.3,0.42142562071432155,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Add Two Numbers,48.3,0.4555575152458236,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Permutations II,44.9,0.6108882861183101,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
MEDIUM,Binary Tree Level Order Traversal,44.9,0.6993448297175351,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Missing Ranges,44.9,0.3501448959878097,https://leetcode.com/problems/missing-ranges,Array
HARD,Longest Valid Parentheses,44.9,0.3577098448532247,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
HARD,Parallel Courses III,44.9,0.6684763071595736,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
EASY,Longest Common Prefix,44.9,0.4498038200501517,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Path Sum II,44.9,0.6011374460693674,https://leetcode.com/problems/path-sum-ii,"Backtracking, Tree, Depth-First Search, Binary Tree"
MEDIUM,Integer to Roman,44.9,0.679851980346846,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Climbing Stairs,44.9,0.5337001733835606,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Jump Game II,44.9,0.411834509986358,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Insert Interval,40.8,0.43010205712629257,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Fraction to Recurring Decimal,40.8,0.2593348279308274,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
HARD,Distinct Subsequences,40.8,0.4953066698042332,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,"Pow(x, n)",40.8,0.3656962950815309,https://leetcode.com/problems/powx-n,"Math, Recursion"
EASY,Merge Two Sorted Lists,40.8,0.6636949795740322,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Intersection of Two Linked Lists,40.8,0.6038628058784737,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
