Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.3641866089879608,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Min Stack,92.1,0.5599609838187355,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Two Sum,89.6,0.5518550894933196,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Keys and Rooms,83.7,0.7431052402185939,https://leetcode.com/problems/keys-and-rooms,"Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Rotate Image,80.1,0.7727247808471845,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Longest Palindromic Substring,75.8,0.35378269296449394,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Find First and Last Position of Element in Sorted Array,75.8,0.46241805255801116,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Simplify Path,75.8,0.4679822830248553,https://leetcode.com/problems/simplify-path,"String, Stack"
EASY,Backspace String Compare,75.8,0.4941501314652794,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
EASY,Form Smallest Number From Two Digit Arrays,70.6,0.5446715018662539,https://leetcode.com/problems/form-smallest-number-from-two-digit-arrays,"Array, Hash Table, Enumeration"
MEDIUM,Number of Islands,70.6,0.6170189235110544,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Find All Numbers Disappeared in an Array,70.6,0.6205642360493757,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,"Array, Hash Table"
MEDIUM,Battleships in a Board,70.6,0.7625899048436486,https://leetcode.com/problems/battleships-in-a-board,"Array, Depth-First Search, Matrix"
MEDIUM,Search a 2D Matrix,70.6,0.5184867256882745,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Longest Subarray of 1's After Deleting One Element,70.6,0.6888269175636581,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
EASY,Is Subsequence,63.9,0.48242733439367574,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Count Square Submatrices with All Ones,63.9,0.7852939940318581,https://leetcode.com/problems/count-square-submatrices-with-all-ones,"Array, Dynamic Programming, Matrix"
MEDIUM,Maximize Distance to Closest Person,63.9,0.48738713599100797,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
MEDIUM,Event Emitter,63.9,0.7434442602745548,https://leetcode.com/problems/event-emitter,
MEDIUM,Subarray Sums Divisible by K,63.9,0.5553476566861077,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Search in Rotated Sorted Array,63.9,0.42401243618383316,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Decode String,63.9,0.6074714004436358,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Minimum Difference Between Highest and Lowest of K Scores,63.9,0.5826102426371003,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores,"Array, Sliding Window, Sorting"
MEDIUM,Line Reflection,54.4,0.35907917383821003,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
EASY,Merge Sorted Array,54.4,0.5235335083469382,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Paint House,54.4,0.634829873359648,https://leetcode.com/problems/paint-house,"Array, Dynamic Programming"
MEDIUM,Subarray Sum Equals K,54.4,0.45002573714268357,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Isomorphic Strings,54.4,0.464828449885823,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Daily Temperatures,54.4,0.670261025044579,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Remove Nth Node From End of List,54.4,0.4822973257949357,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Meeting Rooms II,54.4,0.5195260540275976,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Squares of a Sorted Array,54.4,0.7311199770073923,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Department Highest Salary,54.4,0.5401292544518853,https://leetcode.com/problems/department-highest-salary,Database
EASY,Valid Palindrome,54.4,0.5028459820797222,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
