Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.3641866042601853,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Minimum Cost For Tickets,93.0,0.6740295926210608,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Koko Eating Bananas,93.0,0.48903922276282796,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Valid Parentheses,88.6,0.41917102277315194,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Validate IP Address,76.2,0.27701320169725224,https://leetcode.com/problems/validate-ip-address,String
EASY,Partition Array Into Three Parts With Equal Sum,66.4,0.4198811893603348,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
EASY,Best Time to Buy and Sell Stock,66.4,0.5482908055759429,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Minimum Length of Anagram Concatenation,66.4,0.4135177115836644,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,"Hash Table, String, Counting"
MEDIUM,Number of Islands,66.4,0.6170189235110544,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,66.4,0.46241824806329257,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Race Car,66.4,0.4399047978565707,https://leetcode.com/problems/race-car,Dynamic Programming
MEDIUM,Jump Game,66.4,0.3915385677517528,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Minimum Number of Operations to Make Word K-Periodic,66.4,0.6146932952924393,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,"Hash Table, String, Counting"
MEDIUM,Sum of Digit Differences of All Pairs,66.4,0.42778744922490264,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,"Array, Hash Table, Math, Counting"
