Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.42160258102575676,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,81.2,0.36716660749839103,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Baseball Game,81.2,0.7861054368922147,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
MEDIUM,Koko Eating Bananas,63.9,0.490429592976608,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Minimum Cost For Tickets,63.9,0.6740882476872088,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
EASY,Find the Town Judge,63.9,0.49943152423691906,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
MEDIUM,Number of Islands,63.9,0.6206995899462902,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Longest Common Prefix,63.9,0.4526962273283976,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Climbing Stairs,63.9,0.5347695180391006,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Maximum Subarray,59.5,0.5197354556858729,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Repeating Character Replacement,53.8,0.5689758333533824,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Maximum Number of Vowels in a Substring of Given Length,53.8,0.6018770346085471,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,"String, Sliding Window"
MEDIUM,Validate IP Address,53.8,0.2776768443697236,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Merge Intervals,53.8,0.49194222701054796,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Product of Array Except Self,53.8,0.676213441335623,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Longest Consecutive Sequence,53.8,0.4707131527103792,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Partition Array Into Three Parts With Equal Sum,53.8,0.4202553768097531,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
MEDIUM,Find Duplicate File in System,53.8,0.6757088775791611,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
HARD,Regular Expression Matching,53.8,0.29180539425754215,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
EASY,Valid Palindrome,45.9,0.5066558566887226,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Degree of an Array,45.9,0.5730051192578366,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,House Robber,45.9,0.5218977409583592,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,45.9,0.35648868830827063,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Spiral Matrix,45.9,0.5357401361992877,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Number of Subsequences That Satisfy the Given Sum Condition,45.9,0.4370368095333159,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition,"Array, Two Pointers, Binary Search, Sorting"
EASY,Maximum Repeating Substring,45.9,0.394765693364581,https://leetcode.com/problems/maximum-repeating-substring,"String, Dynamic Programming, String Matching"
MEDIUM,Kth Largest Element in an Array,45.9,0.6783391941760448,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Maximum Depth of Binary Tree,45.9,0.770016981486934,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Consecutive Numbers,45.9,0.4586038537700693,https://leetcode.com/problems/consecutive-numbers,Database
