Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Parentheses,100.0,0.42023665300202206,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,87.9,0.36544048760817516,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Baseball Game,80.3,0.7844943703806038,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
MEDIUM,Minimum Cost For Tickets,73.0,0.6740315250897766,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Koko Eating Bananas,68.0,0.4895450818630492,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Longest Common Prefix,65.0,0.45102168407495424,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Validate IP Address,65.0,0.2772503401505005,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Number of Islands,65.0,0.6186224890470621,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Find the Town Judge,61.3,0.49909678476619956,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
EASY,Climbing Stairs,61.3,0.5341048764818593,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Maximum Subarray,56.9,0.5186412121259021,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Merge Intervals,56.9,0.4902760204544478,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Longest Consecutive Sequence,56.9,0.47126580642921745,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Degree of an Array,51.2,0.5719163394852135,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
EASY,Partition Array Into Three Parts With Equal Sum,51.2,0.41989111300231996,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
MEDIUM,House Robber,51.2,0.520953646848707,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Product of Array Except Self,51.2,0.6750772699321268,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Find Duplicate File in System,51.2,0.6755447330902484,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
MEDIUM,Maximum Number of Vowels in a Substring of Given Length,51.2,0.6003673473746409,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,"String, Sliding Window"
HARD,Regular Expression Matching,51.2,0.29066571381452366,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Longest Repeating Character Replacement,51.2,0.5668866570404147,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Consecutive Numbers,43.2,0.4564907139841502,https://leetcode.com/problems/consecutive-numbers,Database
MEDIUM,Minimum Length of Anagram Concatenation,43.2,0.40531805494344053,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,"Hash Table, String, Counting"
MEDIUM,3Sum,43.2,0.3666551397201092,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Sum of Digit Differences of All Pairs,43.2,0.4232157959794418,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,"Array, Hash Table, Math, Counting"
MEDIUM,Group Anagrams,43.2,0.7056694680759381,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Minimum Number of Operations to Make Word K-Periodic,43.2,0.5950925862345213,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,"Hash Table, String, Counting"
MEDIUM,Jump Game,43.2,0.3921422958362203,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Race Car,43.2,0.4400854187765502,https://leetcode.com/problems/race-car,Dynamic Programming
MEDIUM,Find First and Last Position of Element in Sorted Array,43.2,0.4638627805189319,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
EASY,Reverse Only Letters,43.2,0.6655423197492163,https://leetcode.com/problems/reverse-only-letters,"Two Pointers, String"
EASY,Best Time to Buy and Sell Stock,43.2,0.5492495462954209,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Find All Anagrams in a String,43.2,0.5195423200268856,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Spiral Matrix,43.2,0.5330350898105555,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Kth Largest Element in an Array,43.2,0.6774069782610365,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Maximum Repeating Substring,43.2,0.39330910139316494,https://leetcode.com/problems/maximum-repeating-substring,"String, Dynamic Programming, String Matching"
MEDIUM,Number of Subsequences That Satisfy the Given Sum Condition,43.2,0.43781814552350534,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Longest Palindromic Substring,43.2,0.3549108626999608,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Maximum Depth of Binary Tree,43.2,0.7689592675178903,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Valid Palindrome,43.2,0.5045373458946492,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,43.2,0.4319863652254982,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
