Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximize Greatness of an Array,100.0,0.5817020965204347,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
EASY,Univalued Binary Tree,93.3,0.7200203444016566,https://leetcode.com/problems/univalued-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Reformat Date,91.3,0.6726465808226029,https://leetcode.com/problems/reformat-date,String
MEDIUM,Letter Combinations of a Phone Number,65.3,0.6359964002741687,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
HARD,Text Justification,65.3,0.47813105315539955,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Top K Frequent Elements,65.3,0.6438883699626513,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,First Missing Positive,56.6,0.4093506769964257,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Minimum Number of Swaps to Make the String Balanced,56.6,0.7794916890820056,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,56.6,0.5010684317506645,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
MEDIUM,Group Anagrams,56.6,0.7072454531528652,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Reconstruct Itinerary,56.6,0.4352764804757404,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
HARD,Wildcard Matching,56.6,0.2968721847331636,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Ways to Make a Fair Array,56.6,0.6436154295566924,https://leetcode.com/problems/ways-to-make-a-fair-array,"Array, Prefix Sum"
