Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Product of Array Except Self,100.0,0.6750767959887424,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,96.5,0.5662145094036023,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Maximum Coin Collection ,85.3,0.538638985005767,https://leetcode.com/problems/maximum-coin-collection,"Array, Dynamic Programming"
HARD,Alien Dictionary,85.3,0.3652811444333015,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Coin Change,83.1,0.46046349941115894,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Best Time to Buy and Sell Stock,83.1,0.5492506987594175,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Rotating the Box,83.1,0.7901899856544685,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
HARD,Block Placement Queries,80.7,0.16084790428376328,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Number of Islands,80.7,0.6186243741342837,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Squares of a Sorted Array,78.0,0.7313529156505125,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Course Schedule II,78.0,0.5291118922380406,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Bus Routes,78.0,0.46981877964661334,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Number of Black Blocks,75.0,0.37312721329338056,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
HARD,Find the Closest Palindrome,75.0,0.31578444462884314,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
HARD,Number of Islands II,71.5,0.4002478870991474,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
MEDIUM,Spiral Matrix,67.3,0.5330309481845401,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Basic Calculator,67.3,0.45153111499707504,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Word Search,67.3,0.4483875789716796,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Kth Smallest Element in a BST,67.3,0.749359402448451,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
HARD,Longest Path With Different Adjacent Characters,62.3,0.5392555335955403,https://leetcode.com/problems/longest-path-with-different-adjacent-characters,"Array, String, Tree, Depth-First Search, Graph, Topological Sort"
HARD,Word Search II,62.3,0.37117717360553804,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Leftmost Column with at Least a One,62.3,0.5488848365829709,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
HARD,Word Ladder,62.3,0.4218677972212565,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Evaluate Division,55.7,0.6288195502204823,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Min Cost to Connect All Points,55.7,0.6856949233995183,https://leetcode.com/problems/min-cost-to-connect-all-points,"Array, Union Find, Graph, Minimum Spanning Tree"
MEDIUM,Count Nice Pairs in an Array,55.7,0.48559036763319324,https://leetcode.com/problems/count-nice-pairs-in-an-array,"Array, Hash Table, Math, Counting"
MEDIUM,Random Pick with Weight,55.7,0.4832717981537822,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
HARD,Text Justification,55.7,0.4749293756637244,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Construct Quad Tree,55.7,0.767898394580009,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
MEDIUM,Binary Tree Right Side View,55.7,0.661882195526251,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Design In-Memory File System,55.7,0.48102787526725566,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Number of Subarrays That Match a Pattern I,46.6,0.6626799108047841,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,"Array, Rolling Hash, String Matching, Hash Function"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,46.6,0.6115876960902216,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
HARD,LFU Cache,46.6,0.46074491702487463,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Distinct Substrings in a String,46.6,0.6438892846239951,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
HARD,Meeting Rooms III,46.6,0.43898245939794023,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Analyze User Website Visit Pattern,46.6,0.4340048420360463,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, Sorting"
MEDIUM,LRU Cache,46.6,0.44717596103685453,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Minimum Window Substring,46.6,0.4490215243606473,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Optimal Account Balancing,46.6,0.49763629561609357,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Number of Adjacent Elements With the Same Color,46.6,0.5438915673610479,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
MEDIUM,Water and Jug Problem,46.6,0.42700861211621066,https://leetcode.com/problems/water-and-jug-problem,"Math, Depth-First Search, Breadth-First Search"
MEDIUM,Shuffle an Array,46.6,0.5890112362481496,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
MEDIUM,Valid Sudoku,46.6,0.6189164391589417,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Count Different Palindromic Subsequences,46.6,0.46212249601735417,https://leetcode.com/problems/count-different-palindromic-subsequences,"String, Dynamic Programming"
HARD,Count Palindromic Subsequences,46.6,0.3889203702204593,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
HARD,Find Median from Data Stream,46.6,0.5311627841019104,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Shortest Bridge,46.6,0.5840988264481854,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Insert Interval,46.6,0.43125189662478264,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Remove Comments,46.6,0.3929274161008633,https://leetcode.com/problems/remove-comments,"Array, String"
MEDIUM,Insert Delete GetRandom O(1),46.6,0.5496801832084119,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Design Memory Allocator,46.6,0.5302977537872192,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,My Calendar I,46.6,0.583544001377908,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set"
MEDIUM,Design Hit Counter,46.6,0.6907138240466564,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Boundary of Binary Tree,46.6,0.46929193258799917,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
