Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Bus Routes,100.0,0.47076957087764976,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Number of Islands,92.1,0.6142362255110144,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,92.1,0.5667529379159906,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Alien Dictionary,88.3,0.3636376906168429,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Text Justification,84.9,0.46831417411747284,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Find the Closest Palindrome,81.0,0.31595660159972205,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
HARD,Number of Islands II,76.1,0.3997147913775322,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union Find"
HARD,Block Placement Queries,76.1,0.15943027286463426,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Kth Smallest Element in a BST,76.1,0.745770000226999,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Squares of a Sorted Array,74.2,0.7306347631175356,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Word Search,74.2,0.4448818799527243,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Insert Delete GetRandom O(1),72.2,0.5486434172986696,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Find the Number of Ways to Place People II,72.2,0.4659956014210793,https://leetcode.com/problems/find-the-number-of-ways-to-place-people-ii,"Array, Math, Geometry, Sorting, Enumeration"
MEDIUM,Find Minimum Time to Reach Last Room I,72.2,0.35478027507547805,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-i,"Array, Graph, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Find Minimum Time to Reach Last Room II,72.2,0.49694189602446476,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-ii,"Array, Graph, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Spiral Matrix,72.2,0.5271677495280578,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Maximize Amount After Two Days of Conversions,72.2,0.5886817832436587,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions,"Array, String, Depth-First Search, Breadth-First Search, Graph"
MEDIUM,Construct Quad Tree,69.9,0.7658345733750394,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
HARD,Divide Nodes Into the Maximum Number of Groups,69.9,0.678363121631762,https://leetcode.com/problems/divide-nodes-into-the-maximum-number-of-groups,"Depth-First Search, Breadth-First Search, Union Find, Graph"
HARD,Word Search II,69.9,0.3696112767986702,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,LRU Cache,67.3,0.44265003471529724,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Split Message Based on Limit,64.4,0.4310274475667148,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
HARD,Design In-Memory File System,64.4,0.4802549196845431,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Design Hit Counter,64.4,0.6898155388342669,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Evaluate Division,64.4,0.6267570933264051,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
MEDIUM,Shortest Bridge,61.1,0.5828867870017962,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Basic Calculator,61.1,0.4466715602766622,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,My Calendar I,57.1,0.5836301493582,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set"
MEDIUM,Rotate Image,57.1,0.770165839289031,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Random Pick with Weight,57.1,0.4809115931642359,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Binary Tree Right Side View,57.1,0.6531791477215961,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Minimum Cost For Tickets,57.1,0.6740109278969887,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Leftmost Column with at Least a One,57.1,0.5483426330435284,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Design Memory Allocator,57.1,0.5356716203947054,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
MEDIUM,Subarray Sums Divisible by K,57.1,0.5548934887459807,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
HARD,Optimal Account Balancing,52.3,0.49684325288666437,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Boundary of Binary Tree,52.3,0.46686129764961487,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Find First and Last Position of Element in Sorted Array,52.3,0.46018500173890575,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Find Median from Data Stream,52.3,0.5287637269926079,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Top K Frequent Elements,52.3,0.6397484011326208,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,The Skyline Problem,52.3,0.43553183089600256,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
MEDIUM,Top K Frequent Words,52.3,0.5884870501118588,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Meeting Rooms II,52.3,0.5187228835243075,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Find All Possible Recipes from Given Supplies,46.1,0.5057686057848554,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph, Topological Sort"
HARD,Count Subarrays With Fixed Bounds,46.1,0.6772644262617944,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Longest Consecutive Sequence,46.1,0.4725513024991033,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
HARD,Word Ladder II,46.1,0.27112571591837964,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
MEDIUM,Open the Lock,46.1,0.6055631714413607,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
MEDIUM,Is Graph Bipartite?,46.1,0.5710829888560572,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
HARD,Trapping Rain Water,46.1,0.6412325143637504,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Sliding Puzzle,46.1,0.7294985858195312,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
HARD,Word Ladder,46.1,0.41655452495517353,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Product of Array Except Self,46.1,0.6731214824217818,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,House Robber,46.1,0.5192199729012128,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Maximum Subarray,46.1,0.5164878226060033,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find Peak Element,46.1,0.4628547537752471,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
HARD,Longest Path With Different Adjacent Characters,46.1,0.5399312189529997,https://leetcode.com/problems/longest-path-with-different-adjacent-characters,"Array, String, Tree, Depth-First Search, Graph, Topological Sort"
EASY,Best Time to Buy and Sell Stock,46.1,0.5468400261743787,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Remove Element,46.1,0.5929225419914439,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
