Difficulty,Title,Frequency,Acceptance Rate,Link
EASY,Happy Number,100.0,0.5727311910413325,https://leetcode.com/problems/happy-number
MEDIUM,Find Original Array From Doubled Array,92.4,0.4048700351942904,https://leetcode.com/problems/find-original-array-from-doubled-array
HARD,Guess the Word,92.4,0.3824680778729914,https://leetcode.com/problems/guess-the-word
MEDIUM,Longest String Chain,92.4,0.6155304295544125,https://leetcode.com/problems/longest-string-chain
MEDIUM,Minimum Area Rectangle II,92.4,0.5531834937904871,https://leetcode.com/problems/minimum-area-rectangle-ii
MEDIUM,Find All Possible Recipes from Given Supplies,92.4,0.5049856057985981,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies
MEDIUM,Group Anagrams,92.4,0.6997639099998912,https://leetcode.com/problems/group-anagrams
MEDIUM,Minimum Knight Moves,92.4,0.41038796670398675,https://leetcode.com/problems/minimum-knight-moves
MEDIUM,Jump Game,92.4,0.3897883675349532,https://leetcode.com/problems/jump-game
MEDIUM,Kth Largest Element in an Array,92.4,0.6738426780518207,https://leetcode.com/problems/kth-largest-element-in-an-array
MEDIUM,Time Needed to Inform All Employees,81.7,0.6013156391805032,https://leetcode.com/problems/time-needed-to-inform-all-employees
MEDIUM,Longest Common Subsequence,81.7,0.5786718571081234,https://leetcode.com/problems/longest-common-subsequence
MEDIUM,Video Stitching,81.7,0.5163911557508545,https://leetcode.com/problems/video-stitching
